,SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
80,3.5,0.22,27.7,13.0,10.0,2.04,8.07,1.8359999999999999,0.052000000000000005,1.784,2.3,29.06,75.59
81,5.7,0.23,24.1,8.0,15.0,2.6,12.49,1.9669999999999999,0.084,1.883,1.66,29.34,72.57
82,5.4,0.31,24.3,13.0,15.0,3.02,12.06,1.911,0.113,1.798,0.94,29.11,72.23
83,2.1,0.21,28.4,12.0,7.0,0.89,5.71,0.0,0.0,0.0,1.3,29.21,71.23
84,4.0,0.46,35.2,24.0,17.0,2.3,14.83,2.114,0.151,1.963,1.74,27.11,63.27
85,4.0,0.29,43.0,21.0,10.0,0.96,9.23,2.061,0.053,2.008,2.37,26.17,71.39
86,4.0,0.35,34.8,27.0,16.0,2.08,14.16,2.283,0.11900000000000001,2.165,1.78,26.38,70.81
87,3.8,0.35,40.1,25.0,15.0,1.86,13.41,2.0269999999999997,0.127,1.9,1.95,25.89,69.29
88,3.2,0.35,33.4,24.0,14.0,1.64,12.09,0.0,0.0,0.0,2.48,26.21,70.6
89,7.1,0.34,35.9,21.0,20.0,2.8,17.43,1.982,0.129,1.8530000000000002,2.05,26.63,66.87
90,3.5,0.33,42.3,22.0,13.0,1.23,11.74,2.003,0.09300000000000001,1.91,2.4,25.91,70.49
91,3.1,0.36,39.7,28.0,16.0,3.4,12.45,2.076,0.155,1.921,2.08,25.72,68.06
92,3.2,0.35,43.0,23.0,13.0,2.02,10.98,1.9409999999999998,0.08800000000000001,1.8519999999999999,2.37,25.87,70.89
93,4.6,0.38,33.5,24.0,18.0,1.78,15.97,2.069,0.10800000000000001,1.962,1.68,26.43,68.04
94,4.5,0.45,36.9,22.0,19.0,3.16,16.07,2.046,0.162,1.8840000000000001,0.99,26.2,68.1
95,2.1,0.3,37.7,20.0,8.0,0.93,6.82,0.0,0.0,0.0,1.25,26.12,69.67
96,3.9,0.54,31.6,33.0,21.0,2.67,18.78,2.227,0.192,2.035,1.74,24.21,61.94
97,4.7,0.39,42.2,25.0,17.0,1.91,15.07,2.249,0.11699999999999999,2.131,2.44,23.44,70.23
98,5.4,0.44,35.6,35.0,22.0,2.66,19.33,2.411,0.179,2.2319999999999998,1.8,24.17,68.75
99,3.7,0.42,39.5,35.0,21.0,2.87,18.23,2.175,0.172,2.003,1.89,22.9,68.07
100,3.4,0.42,33.5,33.0,18.0,2.35,15.98,0.0,0.0,0.0,2.47,23.03,71.17
101,6.3,0.45,36.0,32.0,27.0,3.54,23.75,2.074,0.16399999999999998,1.91,2.01,23.84,65.19
102,3.3,0.46,41.3,31.0,20.0,2.16,17.43,2.142,0.149,1.993,2.34,22.81,70.07
103,3.0,0.43,39.0,34.0,21.0,4.87,16.54,2.16,0.16899999999999998,1.9909999999999999,2.07,22.59,67.73
104,3.0,0.46,41.0,33.0,18.0,2.73,15.5,2.07,0.147,1.923,2.28,22.94,68.79
105,4.4,0.53,33.3,35.0,24.0,3.49,20.91,2.219,0.17600000000000002,2.043,1.65,23.64,66.96
106,4.2,0.64,34.7,36.0,27.0,4.59,22.37,2.214,0.235,1.98,1.11,23.48,65.56
107,1.8,0.32,40.0,24.0,9.0,1.4,7.78,0.0,0.0,0.0,1.24,23.01,69.31
108,3.8,0.61,21.4,45.0,27.0,3.95,23.16,2.282,0.22699999999999998,2.055,1.67,19.98,68.65
109,5.3,0.54,29.0,26.0,24.0,2.74,21.39,2.278,0.188,2.0909999999999997,2.56,20.1,73.56
110,4.0,0.5,25.7,39.0,24.0,3.68,20.31,2.319,0.17800000000000002,2.141,1.96,19.92,72.18
111,2.9,0.51,28.0,42.0,24.0,4.26,19.93,2.224,0.201,2.024,2.11,18.82,74.38
112,2.5,0.5,24.7,41.0,21.0,3.19,17.68,0.0,0.0,0.0,2.61,18.79,77.76
113,4.3,0.59,24.8,39.0,32.0,5.31,27.07,2.148,0.204,1.945,1.88,20.02,70.41
114,2.9,0.53,29.2,39.0,22.0,2.69,19.41,2.1919999999999997,0.163,2.029,2.53,18.65,75.4
115,2.2,0.49,28.7,41.0,21.0,4.8,16.33,2.1590000000000003,0.152,2.008,2.31,18.17,74.41
116,2.4,0.56,28.5,41.0,23.0,3.42,19.44,2.14,0.179,1.9609999999999999,2.55,18.88,74.1
117,3.1,0.67,24.2,41.0,29.0,5.16,23.41,2.2640000000000002,0.21,2.053,1.78,19.67,72.5
118,3.5,0.77,23.1,44.0,33.0,6.99,25.55,2.3209999999999997,0.28800000000000003,2.033,1.19,19.51,71.25
119,1.6,0.41,27.2,30.0,10.0,1.39,8.96,0.0,0.0,0.0,1.07,19.3,76.59
120,4.2,0.65,18.6,39.0,33.0,5.92,27.12,2.369,0.301,2.068,1.54,20.39,70.45
121,5.2,0.51,29.3,30.0,27.0,3.54,23.27,2.26,0.13699999999999998,2.123,2.3,20.44,75.16
122,4.0,0.54,23.9,40.0,30.0,4.86,24.88,2.367,0.233,2.134,1.78,20.33,73.66
123,3.3,0.52,24.8,36.0,29.0,6.09,22.65,2.267,0.23399999999999999,2.033,1.92,19.24,76.08
124,3.0,0.51,22.4,39.0,24.0,4.23,19.74,0.0,0.0,0.0,2.39,19.66,76.38
125,6.0,0.62,21.5,40.0,40.0,8.67,31.55,2.211,0.259,1.952,1.8,20.44,72.67
126,2.9,0.54,26.2,39.0,25.0,3.19,22.0,2.195,0.17800000000000002,2.017,2.34,18.83,77.17
127,2.6,0.5,25.1,43.0,25.0,5.99,18.95,2.209,0.19,2.019,2.14,18.55,75.96
128,2.6,0.56,26.7,41.0,24.0,3.77,20.58,2.158,0.183,1.975,2.4,19.3,75.53
129,3.9,0.66,22.4,42.0,31.0,5.74,25.69,2.231,0.22699999999999998,2.005,1.68,20.11,73.01
130,4.1,0.81,20.6,43.0,36.0,7.88,28.12,2.349,0.32299999999999995,2.026,1.07,19.91,72.94
131,1.6,0.41,25.8,28.0,12.0,1.5,10.59,0.0,0.0,0.0,0.99,19.58,78.13
132,3.9,0.63,25.6,45.0,30.0,4.61,25.17,2.229,0.221,2.008,1.7,21.19,69.46
133,4.7,0.5,25.0,38.0,27.0,3.64,23.25,2.353,0.209,2.144,1.93,20.99,71.66
134,6.9,0.58,29.9,33.0,26.0,2.98,23.24,2.239,0.141,2.0980000000000003,2.36,21.34,71.82
135,2.8,0.54,28.5,40.0,24.0,3.0,21.07,2.154,0.182,1.972,2.59,20.19,72.55
136,4.2,0.49,27.7,37.0,27.0,4.86,22.16,2.274,0.239,2.035,2.13,20.2,73.4
137,4.8,0.6,22.3,40.0,30.0,3.99,26.21,2.355,0.27,2.085,1.63,21.26,67.73
138,3.0,0.46,27.1,43.0,22.0,3.75,18.7,2.187,0.166,2.021,2.31,19.53,73.41
139,4.1,0.79,23.7,40.0,34.0,6.56,27.61,2.3209999999999997,0.313,2.009,1.04,20.89,70.12
140,5.4,0.58,25.0,40.0,35.0,4.96,30.26,2.193,0.23800000000000002,1.955,1.83,21.65,68.29
141,3.4,0.51,29.6,41.0,24.0,2.23,21.67,2.184,0.171,2.013,2.48,19.71,73.63
142,3.3,0.47,25.6,44.0,23.0,3.34,19.54,0.0,0.0,0.0,2.46,19.94,76.18
143,1.8,0.38,28.7,34.0,12.0,1.15,10.68,0.0,0.0,0.0,0.97,20.42,76.36
144,5.2,0.5,27.9,36.0,26.0,4.02,21.89,2.3930000000000002,0.22899999999999998,2.165,1.47,25.3,76.16
145,6.5,0.46,37.3,32.0,21.0,1.98,19.3,2.249,0.14800000000000002,2.101,2.12,25.32,76.68
146,4.7,0.63,26.4,43.0,30.0,3.35,26.25,2.386,0.29,2.095,1.53,25.14,74.08
147,6.4,0.57,27.8,40.0,34.0,4.41,30.03,2.228,0.265,1.962,1.72,26.11,73.11
148,1.8,0.36,31.8,31.0,11.0,1.25,9.41,0.0,0.0,0.0,0.99,24.9,79.16
149,3.0,0.45,28.3,38.0,21.0,2.81,17.84,0.0,0.0,0.0,2.2,24.43,79.6
150,4.4,0.8,27.2,39.0,33.0,5.91,27.38,2.339,0.327,2.013,0.93,25.18,74.28
151,4.2,0.64,28.4,44.0,29.0,4.06,25.27,2.278,0.24,2.037,1.52,25.46,73.65
152,3.5,0.53,30.6,40.0,22.0,2.23,19.36,2.221,0.19899999999999998,2.021,2.29,24.89,76.62
153,2.8,0.45,29.2,40.0,20.0,2.84,16.95,2.175,0.17600000000000002,1.999,1.98,24.07,79.24
154,3.2,0.49,32.4,40.0,23.0,1.9,21.16,2.193,0.174,2.02,2.21,24.04,80.53
155,4.1,0.49,29.7,39.0,26.0,4.5,21.6,2.306,0.251,2.055,1.74,24.55,78.44
156,3.0,0.39,36.5,25.0,17.0,2.23,15.02,2.0780000000000003,0.151,1.926,1.83,26.93,77.07
157,4.6,0.62,35.0,26.0,24.0,3.82,20.25,2.178,0.231,1.946,0.99,27.86,72.09
158,6.7,0.42,35.8,29.0,24.0,2.92,20.71,2.128,0.2,1.929,1.85,28.63,71.31
159,3.5,0.43,40.5,28.0,16.0,1.62,14.48,2.11,0.14300000000000002,1.966,2.24,27.53,74.28
160,3.0,0.38,35.7,31.0,16.0,2.16,13.99,0.0,0.0,0.0,2.22,27.14,77.14
161,5.2,0.38,33.6,29.0,19.0,3.17,15.73,2.369,0.188,2.181,1.64,27.68,75.02
162,4.2,0.47,37.8,32.0,20.0,2.37,17.61,2.147,0.159,1.9880000000000002,1.55,27.85,72.56
163,3.6,0.41,40.6,27.0,20.0,1.76,17.75,2.164,0.157,2.008,2.18,26.96,77.42
164,5.6,0.35,43.0,27.0,13.0,0.91,11.73,2.1959999999999997,0.09300000000000001,2.104,2.2,27.85,75.13
165,1.9,0.3,37.1,25.0,8.0,1.46,6.83,0.0,0.0,0.0,0.88,27.38,77.51
166,4.1,0.39,39.1,28.0,19.0,2.88,15.63,2.1919999999999997,0.204,1.9880000000000002,1.71,27.26,75.83
167,4.4,0.52,36.1,26.0,20.0,1.81,17.96,2.2359999999999998,0.20800000000000002,2.028,1.67,27.49,72.86
168,4.5,0.31,34.6,20.0,13.0,1.71,10.81,1.9580000000000002,0.096,1.8619999999999999,2.24,29.72,75.18
169,3.8,0.43,31.0,20.0,15.0,1.83,13.34,2.095,0.141,1.954,1.76,30.05,72.71
170,4.5,0.23,35.3,21.0,8.0,1.09,6.9,2.021,0.054000000000000006,1.969,2.39,30.0,76.06
171,3.3,0.32,31.2,21.0,15.0,2.65,12.31,2.052,0.192,1.86,1.71,29.82,76.24
172,3.3,0.29,31.0,23.0,13.0,2.13,11.16,0.0,0.0,0.0,2.32,30.18,75.72
173,4.1,0.26,28.9,23.0,13.0,2.97,10.35,2.219,0.131,2.088,1.8,30.17,75.29
174,4.1,0.29,34.0,20.0,14.0,1.46,12.4,2.015,0.096,1.92,2.3,29.44,77.95
175,4.5,0.31,34.1,22.0,14.0,2.21,11.35,2.06,0.12300000000000001,1.9369999999999998,1.89,29.79,76.14
176,5.9,0.48,29.0,19.0,19.0,3.76,15.1,2.031,0.172,1.859,0.95,30.74,71.51
177,5.8,0.32,29.9,21.0,17.0,3.01,13.87,2.006,0.11,1.896,1.67,30.12,73.72
178,8.8,0.32,28.3,21.0,20.0,3.71,16.23,1.9869999999999999,0.14,1.847,2.07,30.92,72.28
179,2.1,0.23,35.4,25.0,6.0,0.89,4.73,0.0,0.0,0.0,0.93,29.77,75.73
180,3.1,0.41,20.3,14.0,14.0,2.34,12.1,2.053,0.152,1.901,1.81,29.86,75.56
181,8.0,0.28,18.2,16.0,19.0,4.72,13.86,1.9380000000000002,0.132,1.806,2.07,31.02,74.46
182,1.6,0.19,22.7,18.0,4.0,0.92,3.12,0.0,0.0,0.0,1.16,29.18,76.11
183,3.7,0.26,23.4,16.0,12.0,2.09,10.37,2.016,0.107,1.91,1.83,29.41,80.07
184,4.9,0.42,18.0,14.0,18.0,4.46,13.47,1.985,0.16,1.8259999999999998,0.99,30.13,73.05
185,5.0,0.3,17.5,14.0,16.0,3.06,13.34,1.9409999999999998,0.102,1.839,1.57,30.0,75.79
186,3.5,0.28,21.8,12.0,11.0,2.02,9.26,1.889,0.09300000000000001,1.796,2.16,29.08,77.4
187,3.0,0.27,19.6,14.0,14.0,3.73,10.58,1.885,0.16,1.726,1.56,29.72,77.16
188,3.2,0.25,21.8,13.0,13.0,1.74,10.95,1.9769999999999999,0.10800000000000001,1.869,2.13,29.55,79.14
189,1.8,0.25,20.8,17.0,12.0,2.64,9.07,0.0,0.0,0.0,2.37,30.85,76.46
190,3.9,0.25,17.7,16.0,14.0,2.95,10.56,2.168,0.138,2.03,1.69,29.89,77.55
191,3.9,0.18,24.8,0.0,7.0,0.97,6.36,1.953,0.05,1.9040000000000001,2.36,29.65,78.17
192,2.9,0.22,22.7,16.0,12.0,2.4,9.22,0.0,0.0,0.0,2.6,29.22,69.7
193,3.8,0.37,22.0,12.0,14.0,2.85,11.52,2.03,0.146,1.885,1.91,30.55,69.79
194,1.6,0.17,26.8,17.0,5.0,1.02,3.59,0.0,0.0,0.0,1.32,28.59,76.51
195,4.1,0.26,22.9,11.0,13.0,2.78,10.42,1.9140000000000001,0.111,1.8019999999999998,2.37,29.86,68.37
196,3.2,0.26,23.4,13.0,16.0,4.23,11.96,1.903,0.145,1.758,1.97,29.68,73.67
197,4.8,0.29,19.8,12.0,15.0,3.04,12.32,1.933,0.106,1.827,2.08,30.2,71.23
198,8.1,0.25,20.2,12.0,16.0,4.04,11.74,1.956,0.133,1.8230000000000002,2.31,30.73,72.43
199,5.3,0.27,26.8,15.0,13.0,2.42,10.82,2.025,0.122,1.903,2.14,29.88,76.23
200,3.8,0.19,20.1,13.0,12.0,2.69,9.35,2.145,0.141,2.004,2.18,29.6,76.23
201,3.7,0.27,23.1,13.0,16.0,2.56,13.31,2.0069999999999997,0.136,1.87,2.43,30.12,68.55
202,2.9,0.13,23.9,12.0,6.0,1.49,4.97,1.996,0.039,1.9609999999999999,2.94,30.19,71.56
203,5.1,0.37,20.7,12.0,17.0,3.91,13.16,1.9880000000000002,0.162,1.827,1.23,30.52,68.5
204,3.7,0.23,16.1,7.0,12.0,3.13,8.49,1.8940000000000001,0.09699999999999999,1.797,2.27,29.71,76.33
205,8.4,0.21,11.7,10.0,18.0,5.66,12.33,1.994,0.185,1.81,2.12,29.8,78.43
206,2.8,0.24,14.4,9.0,15.0,5.18,9.53,1.89,0.14,1.75,2.06,29.57,73.43
207,3.3,0.22,19.0,7.0,11.0,2.82,8.47,1.9480000000000002,0.08900000000000001,1.859,2.15,29.45,75.36
208,2.9,0.23,15.0,9.0,14.0,3.05,10.84,1.946,0.115,1.831,2.33,29.75,75.85
209,4.4,0.34,13.4,8.0,17.0,5.25,11.36,1.962,0.157,1.805,1.15,30.07,77.57
210,1.3,0.15,18.9,13.0,5.0,1.2,3.87,0.0,0.0,0.0,1.36,28.49,76.65
211,2.7,0.18,15.0,11.0,11.0,3.06,7.75,0.0,0.0,0.0,2.83,28.69,72.32
212,3.7,0.2,14.2,8.0,12.0,3.49,8.84,2.131,0.152,1.98,2.06,29.04,80.05
213,3.5,0.34,14.1,9.0,14.0,3.86,10.57,2.021,0.154,1.8659999999999999,1.96,30.15,73.54
214,4.1,0.26,12.1,7.0,15.0,3.83,11.19,1.922,0.109,1.8130000000000002,1.69,29.48,74.62
215,2.3,0.1,16.7,9.0,6.0,1.8,4.68,1.909,0.035,1.876,2.37,29.65,76.84
216,3.8,0.2,40.1,18.0,10.0,1.44,8.05,1.995,0.055999999999999994,1.939,2.21,28.41,74.17
217,4.3,0.3,31.2,18.0,15.0,2.01,12.75,2.2159999999999997,0.14400000000000002,2.072,1.77,27.83,76.94
218,5.3,0.38,32.8,23.0,18.0,2.36,15.37,2.046,0.131,1.915,1.54,28.06,71.45
219,4.5,0.34,39.8,21.0,13.0,1.65,11.38,2.024,0.113,1.911,2.12,28.04,72.97
220,5.6,0.51,34.3,20.0,20.0,3.22,17.07,2.122,0.2,1.922,1.02,28.68,73.61
221,3.6,0.34,36.2,25.0,15.0,2.73,12.26,2.025,0.142,1.883,1.96,28.06,70.85
222,8.7,0.34,32.7,18.0,21.0,3.4,17.81,2.09,0.175,1.9140000000000001,1.95,28.26,75.19
223,1.8,0.27,34.8,23.0,8.0,1.18,6.35,0.0,0.0,0.0,1.16,27.63,67.89
224,3.9,0.36,39.7,23.0,16.0,1.82,14.25,2.057,0.11199999999999999,1.945,2.19,27.93,74.42
225,3.5,0.33,29.4,24.0,14.0,2.11,11.53,0.0,0.0,0.0,2.29,27.18,69.25
226,4.4,0.34,39.1,21.0,15.0,1.82,13.06,2.061,0.11699999999999999,1.944,1.81,27.85,73.26
227,4.5,0.46,30.4,22.0,18.0,2.73,15.23,2.1430000000000002,0.17600000000000002,1.9669999999999999,1.66,28.7,70.67
228,1.7,0.31,35.3,24.0,9.0,1.5,7.64,0.0,0.0,0.0,1.23,24.82,72.08
229,4.5,0.53,30.2,26.0,21.0,3.24,17.61,2.165,0.191,1.974,1.64,25.96,68.23
230,3.7,0.28,37.7,21.0,12.0,1.83,10.49,2.064,0.08,1.984,2.3,25.71,72.33
231,4.6,0.36,31.4,23.0,18.0,2.96,15.19,2.254,0.163,2.09,1.9,24.86,74.65
232,4.2,0.4,36.3,23.0,19.0,2.99,15.76,2.0869999999999997,0.14300000000000002,1.945,1.9,25.08,70.11
233,2.9,0.37,31.5,29.0,15.0,2.34,13.05,0.0,0.0,0.0,2.36,24.06,68.61
234,3.5,0.39,40.1,28.0,16.0,1.29,15.03,2.099,0.128,1.9709999999999999,2.11,25.43,70.51
235,3.2,0.4,35.4,29.0,18.0,3.45,14.26,2.056,0.158,1.8980000000000001,2.02,25.3,68.05
236,4.1,0.4,39.7,24.0,15.0,1.85,13.63,2.023,0.126,1.8969999999999998,2.13,25.34,70.16
237,4.9,0.44,34.4,26.0,20.0,2.71,17.36,2.077,0.13699999999999998,1.939,1.62,25.39,68.72
238,5.3,0.56,34.3,24.0,23.0,3.98,19.34,2.151,0.21100000000000002,1.94,1.14,25.86,71.05
239,7.9,0.39,31.1,23.0,24.0,3.95,20.03,2.062,0.154,1.909,1.92,25.5,72.65
240,5.0,0.73,35.3,38.0,29.0,4.16,24.49,2.294,0.276,2.0180000000000002,1.24,23.98,69.72
241,3.7,0.49,31.9,46.0,21.0,2.89,18.2,0.0,0.0,0.0,2.48,21.52,67.98
242,4.5,0.51,36.0,40.0,25.0,3.52,21.49,2.164,0.201,1.963,2.12,22.48,69.95
