SO2,CO,CO2,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2.5,0.28,0,26.4,17,14.72,2.48,12.24,0,0,0,3.66,28.32,78.32
2.2,0.29,0,26.7,16,16.64,3.89,12.75,1.882,0.164,1.72,2.78,28.63,75
2.2,0.41,423.32,25.6,16,16.85,3.79,13.06,1.909,0.173,1.74,1.89,29.01,73.37
2.4,0.33,0,29.5,15,9.61,2.01,7.58,1.803,0.102,1.7,2.24,26.91,75.56
2,0.38,0,26.4,15,19.08,4.62,14.46,1.94,0.148,1.79,2,28.78,74.14
2.6,0.37,0,30.6,20,16.71,2.63,14.08,1.922,0.129,1.79,1.78,30.27,72.72
3.1,0.36,0,33.7,22,10.58,1.88,8.7,1.844,0.11,1.73,1.95,27.93,75.57
2.8,0.41,422.23,32,21,15.1,2.53,12.57,1.946,0.17,1.78,1.62,29.24,72.14
2.9,0.29,0,32.3,22,15.37,2.68,12.68,1.94,0.176,1.76,1.95,29.76,71.81
3.2,0.29,0,32.2,20,14.07,1.83,12.24,0,0,0,2.37,29.87,76.55
2.9,0.39,0,28.8,18,8.86,1.87,7,1.798,0.106,1.69,2.73,28.77,69.93
2.2,0.3,424.55,26,15,12.57,2.7,9.87,1.867,0.126,1.74,1.92,29.51,68.74
2.2,0.26,0,22.4,14,13.69,2.48,11.21,1.802,0.095,1.71,2.05,30.86,68.55
2.7,0.21,0,24.4,15,14.23,3.25,10.98,1.809,0.141,1.67,2.46,30.17,68.7
2.7,0.22,0,23.3,12,12.15,2.3,9.85,0,0,0,3.1,30.38,72.79
2.1,0.31,0,21,10,14.3,2.94,11.36,1.791,0.099,1.69,1.98,30.15,71.38
2.6,0.22,0,22.7,12,15.19,3.49,11.7,1.758,0.148,1.61,2.38,29.55,71.48
3.1,0.42,0,25.3,14,7.99,1.24,6.77,1.753,0.099,1.65,2.95,28.19,72.59
2.3,0.32,422.12,23,11,13.61,3.11,10.49,1.858,0.145,1.71,1.93,28.81,71.58
2.8,0.23,0,21.9,9,12.73,2.38,10.35,0,0,0,2.97,28.84,77.59
2.6,0.43,0,28.6,19,19.71,3.4,16.32,1.986,0.142,1.84,1.87,28.79,70.23
3.1,0,0,29.7,23,18.28,3.2,15.07,1.913,0.185,1.73,2.23,27.79,73.08
2.7,0.45,434.55,28.7,21,19.02,3.42,15.6,1.967,0.186,1.78,1.8,27.29,70.95
3,0.35,0,29.1,17,16.37,2.49,13.87,0,0,0,2.75,26.47,80.17
3.1,0.44,0,31.3,23,11.92,1.83,10.09,1.918,0.137,1.78,2.43,26.62,74.01
2.9,0.55,435.04,27.1,30,23.63,4.1,19.52,2.106,0.237,1.87,1.7,24.92,73.39
2.6,0.53,0,28.6,30,23.26,3.74,19.52,2.095,0.172,1.92,1.75,25.87,73.3
3.2,0.44,0,30.3,34,22.03,3.91,18.12,2.006,0.22,1.79,2.12,24.64,79.48
3.1,0.51,0,30.8,35,15.86,2.29,13.58,2.047,0.174,1.87,2.33,24.05,75.6
2.8,0.41,0,32.9,31,17.65,2.42,15.23,0,0,0,2.69,23.69,82.79
2.4,0.63,0,25.3,31,35.47,9.38,26.09,2.14,0.26,1.88,1.79,18.9,72.94
2.7,0.47,0,30.6,34,28.64,6.91,21.73,2.07,0.27,1.8,2.57,18.3,77
2.4,0.46,0,32.3,26,17.19,2.8,14.39,2.08,0.18,1.9,1.99,17.28,73.96
2.5,0.45,0,32.3,32,22.74,3.23,19.5,0,0,0,3.41,17.36,80.65
2.9,0.69,439.3,23.8,29,34.46,7.83,26.63,2.27,0.33,1.94,1.6,19.53,72.73
2.1,0.4,0,31.2,27,19.53,3.49,16.03,1.937,0.147,1.79,3.51,16.21,73.27
2.3,0.43,0,29.7,24,13.48,2.45,11.02,1.907,0.121,1.79,2.23,15.19,70.32
2.8,0.6,428.14,23.7,25,28.07,6.12,21.96,2.126,0.221,1.91,2.04,17.92,69.23
2.3,0.41,0,32.5,24,15.6,2.29,13.32,0,0,0,4.72,14.93,76.17
2.2,0.52,0,25.8,25,25.7,5.68,20.01,1.982,0.163,1.82,2.15,16.77,68.78
2.1,0.45,0,25,22,24.43,7.2,17.23,1.986,0.2,1.79,3.34,17.35,80.74
2.5,0.71,428.6,17.6,23,35.4,11.73,23.67,2.254,0.317,1.94,1.86,18.15,75.07
2.3,0.56,0,16.6,21,31.34,10.39,20.95,1.949,0.22,1.73,1.96,17.02,77.37
2,0.43,0,23.4,19,14.7,2.82,11.89,1.797,0.149,1.65,1.99,15.7,77.68
2.3,0.44,0,26.7,21,18.54,3.36,15.18,0,0,0,4.42,16.26,83.74
3,0.55,0,19.9,24,27.57,6.73,20.84,1.925,0.207,1.72,1.96,19.8,71.99
2.5,0.45,0,27,24,22.97,6.01,16.96,2.015,0.199,1.82,3.26,19.86,76.11
3.1,0.69,430.7,18.3,28,32.17,8.45,23.72,2.239,0.298,1.94,1.91,20.54,70.67
2.9,0.43,0,28.1,20,18.72,3.1,15.62,0,0,0,4.36,19.45,78.09
2.6,0.44,0,25.3,21,15.05,2.65,12.4,1.86,0.182,1.68,2,18.32,73.9
3.1,0.63,438.37,26.6,40,27.75,5.3,22.45,2.165,0.289,1.88,1.73,25.77,69.64
2.6,0.45,0,30.9,25,15.06,2.21,12.86,1.812,0.157,1.65,1.88,23.05,71.91
3.1,0.56,0,24.1,33,28.17,5.37,22.8,1.953,0.213,1.74,1.76,24.97,70.13
3.2,0.47,0,30.8,24,21.97,2.89,19.09,0,0,0,3.2,23.58,77.22
2.9,0.46,0,30.1,32,24.12,4.64,19.47,2.039,0.235,1.81,2.5,24.61,75.21
3.2,0.58,436.32,33,37,24.15,3.64,20.51,2.092,0.241,1.85,1.7,27.23,71
3.1,0.49,0,33,31,23.12,3.06,20.05,1.979,0.2,1.78,1.78,25.74,70.84
3.2,0.4,0,36.6,30,18.69,2.68,16,2.014,0.223,1.79,2.49,26.39,75.74
2.7,0.46,0,35.4,28,12.99,1.9,11.09,1.773,0.149,1.63,1.82,24.92,74.52
2.8,0.39,0,37.3,23,17.11,1.93,15.18,0,0,0,3.25,24.99,77.97
3.1,0.37,0,35,19,16.92,2.31,14.61,0,0,0,3.31,27.22,76.45
3.4,0.35,0,35.9,23,19.49,3.66,15.83,2.022,0.197,1.83,2.62,28.27,73.62
2.8,0.49,426.85,37.4,26,19.58,2.97,16.61,2.071,0.21,1.86,1.98,28.54,69.58
2.5,0.36,0,39.6,22,11.15,1.57,9.58,1.812,0.109,1.7,2.15,26.63,71.87
