SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2.5,0.5,24.7,41,20.87,3.19,17.68,0,0,0,2.61,18.79,77.76
2.9,0.51,28,42,24.2,4.26,19.93,2.224,0.201,2.02,2.11,18.82,74.38
4,0.5,25.7,39,23.99,3.68,20.31,2.319,0.178,2.14,1.96,19.92,72.18
5.3,0.54,29,26,24.13,2.74,21.39,2.278,0.188,2.09,2.56,20.1,73.56
2.9,0.53,29.2,39,22.1,2.69,19.41,2.192,0.163,2.03,2.53,18.65,75.4
6,0.62,21.5,40,40.23,8.67,31.55,2.211,0.259,1.95,1.8,20.44,72.67
4.1,0.81,20.6,43,36,7.88,28.12,2.349,0.323,2.03,1.07,19.91,72.94
3.9,0.66,22.4,42,31.43,5.74,25.69,2.231,0.227,2.01,1.68,20.11,73.01
2.6,0.56,26.7,41,24.35,3.77,20.58,2.158,0.183,1.98,2.4,19.3,75.53
2.6,0.5,25.1,43,24.94,5.99,18.95,2.209,0.19,2.02,2.14,18.55,75.96
4.2,0.65,18.6,39,33.04,5.92,27.12,2.369,0.301,2.07,1.54,20.39,70.45
1.6,0.41,25.8,28,12.1,1.5,10.59,0,0,0,0.99,19.58,78.13
3,0.51,22.4,39,23.98,4.23,19.74,0,0,0,2.39,19.66,76.38
3.3,0.52,24.8,36,28.74,6.09,22.65,2.267,0.234,2.03,1.92,19.24,76.08
4,0.54,23.9,40,29.74,4.86,24.88,2.367,0.233,2.13,1.78,20.33,73.66
5.2,0.51,29.3,30,26.81,3.54,23.27,2.26,0.137,2.12,2.3,20.44,75.16
2.9,0.54,26.2,39,25.19,3.19,22,2.195,0.178,2.02,2.34,18.83,77.17
6.9,0.58,29.9,33,26.22,2.98,23.24,2.239,0.141,2.1,2.36,21.34,71.82
2.8,0.54,28.5,40,24.07,3,21.07,2.154,0.182,1.97,2.59,20.19,72.55
3.9,0.63,25.6,45,29.78,4.61,25.17,2.229,0.221,2.01,1.7,21.19,69.46
4.7,0.5,25,38,26.9,3.64,23.25,2.353,0.209,2.14,1.93,20.99,71.66
1.8,0.38,28.7,34,11.85,1.15,10.68,0,0,0,0.97,20.42,76.36
3.3,0.47,25.6,44,22.88,3.34,19.54,0,0,0,2.46,19.94,76.18
3.4,0.51,29.6,41,23.91,2.23,21.67,2.184,0.171,2.01,2.48,19.71,73.63
4.8,0.6,22.3,40,30.2,3.99,26.21,2.355,0.27,2.09,1.63,21.26,67.73
4.2,0.49,27.7,37,27.02,4.86,22.16,2.274,0.239,2.04,2.13,20.2,73.4
3,0.46,27.1,43,22.45,3.75,18.7,2.187,0.166,2.02,2.31,19.53,73.41
5.4,0.58,25,40,35.22,4.96,30.26,2.193,0.238,1.96,1.83,21.65,68.29
4.1,0.79,23.7,40,34.16,6.56,27.61,2.321,0.313,2.01,1.04,20.89,70.12
3.5,0.53,30.6,40,21.58,2.23,19.36,2.221,0.199,2.02,2.29,24.89,76.62
4.2,0.64,28.4,44,29.34,4.06,25.27,2.278,0.24,2.04,1.52,25.46,73.65
4.4,0.8,27.2,39,33.28,5.91,27.38,2.339,0.327,2.01,0.93,25.18,74.28
6.4,0.57,27.8,40,34.44,4.41,30.03,2.228,0.265,1.96,1.72,26.11,73.11
4.7,0.63,26.4,43,29.61,3.35,26.25,2.386,0.29,2.1,1.53,25.14,74.08
3.2,0.49,32.4,40,23.05,1.9,21.16,2.193,0.174,2.02,2.21,24.04,80.53
2.8,0.45,29.2,40,19.77,2.84,16.95,2.175,0.176,2,1.98,24.07,79.24
6.5,0.46,37.3,32,21.28,1.98,19.3,2.249,0.148,2.1,2.12,25.32,76.68
5.2,0.5,27.9,36,25.91,4.02,21.89,2.393,0.229,2.17,1.47,25.3,76.16
4.1,0.49,29.7,39,26.1,4.5,21.6,2.306,0.251,2.06,1.74,24.55,78.44
3,0.45,28.3,38,20.65,2.81,17.84,0,0,0,2.2,24.43,79.6
1.8,0.36,31.8,31,10.67,1.25,9.41,0,0,0,0.99,24.9,79.16
3,0.38,35.7,31,16.15,2.16,13.99,0,0,0,2.22,27.14,77.14
4.4,0.52,36.1,26,19.78,1.81,17.96,2.236,0.208,2.03,1.67,27.49,72.86
4.6,0.62,35,26,24.08,3.82,20.25,2.178,0.231,1.95,0.99,27.86,72.09
4.1,0.39,39.1,28,18.52,2.88,15.63,2.192,0.204,1.99,1.71,27.26,75.83
5.6,0.35,43,27,12.65,0.91,11.73,2.196,0.093,2.1,2.2,27.85,75.13
3.5,0.43,40.5,28,16.1,1.62,14.48,2.11,0.143,1.97,2.24,27.53,74.28
5.2,0.38,33.6,29,18.9,3.17,15.73,2.369,0.188,2.18,1.64,27.68,75.02
4.2,0.47,37.8,32,19.98,2.37,17.61,2.147,0.159,1.99,1.55,27.85,72.56
3.6,0.41,40.6,27,19.51,1.76,17.75,2.164,0.157,2.01,2.18,26.96,77.42
1.9,0.3,37.1,25,8.3,1.46,6.83,0,0,0,0.88,27.38,77.51
