SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
3.2,0.56,32.5,46,21,2.48,18.66,0,0,0,1.49,24.39,72.98
3.1,0.41,37.3,42,17,1.62,15.29,0,0,0,1.43,22.93,74.98
2.1,0.52,27.4,51,18,1.69,15.93,0,0,0,1.43,19.67,75.68
2.8,0.45,26.7,47,20,2.59,17.08,0,0,0,1.37,19.3,74.6
2.9,0.57,24.9,49,24,3.35,20.38,0,0,0,1.52,20.25,75.75
1.8,0.48,24.8,31,16,1.73,14.54,0,0,0,1.37,17.21,74.52
2.5,0.43,25.3,35,19,2.69,16.11,0,0,0,1.41,16.86,74.41
2.5,0.56,21.3,33,24,4.52,19.61,0,0,0,1.57,17.25,78.1
3.1,0.48,32.1,47,19,2.13,17.1,0,0,0,1.31,0,65.02
3,0.62,23.3,43,28,5.63,22.01,0,0,0,1.52,0,70.48
2.3,0.56,28.4,44,20,2.79,17.64,0,0,0,1.32,0,66.64
3.6,0.63,17.6,43,30,7.18,23.13,0,0,0,1.54,0,76.33
3.2,0.52,22,47,24,3.99,19.68,0,0,0,1.4,0,71.29
2.1,0.54,19.9,37,20,3.71,16.27,0,0,0,1.19,0,74.17
3.3,0.61,24.4,50,26,4.08,21.93,2.158,0.255,1.903,0,0,74
2.4,0.49,28.2,45,17,2.79,14.68,0,0,0,0,0,72.94
3.2,0.47,28.7,50,20,2.83,17.58,0,0,0,0,0,71.88
2.1,0.4,40.3,37,13,1.42,11.66,0,0,0,0,0,71.31
2.5,0.46,34.2,34,19,2.19,16.61,2.023,0.179,1.843,0,0,70.36
2.6,0.36,39.5,37,14,1.45,12.54,0,0,0,0,0,69.46
2.4,0.45,36.7,34,15,1.67,13.05,2.055,0.145,1.91,1.52,0,76.3
1.7,0.36,40.3,35,11,1.51,9.18,0,0,0,1.68,0,75.52
2.6,0.32,39,37,11,1.43,9.42,0,0,0,1.27,0,74.99
1.8,0.28,26.7,25,10,1.63,8.08,0,0,0,0,0,79.17
2.1,0.3,23.7,19,12,2.01,9.52,1.94,0.094,1.845,0,0,79.28
2.3,0.2,25.1,15,8,1.45,6.78,0,0,0,0,0,77.68
1.8,0.25,26.2,22,9,1.65,7.28,0,0,0,0,0,77.38
2.4,0.21,25.4,20,8,1.52,6.75,0,0,0,0,0,74.91
1.9,0.28,27.1,21,11,1.81,8.74,1.911,0.097,1.814,0,0,75.39
2.3,0.22,24.6,23,9,1.56,7.3,0,0,0,0,0,72.66
2,0.31,23.8,19,12,1.95,9.57,1.88,0.098,1.782,0,0,72.82
1.6,0.28,25.6,23,9,1.79,7.29,0,0,0,0,0,77.62
1.5,0.33,25.8,23,11,1.99,8.96,0,0,0,0,0,82.18
1.9,0.36,24,23,15,2.72,11.77,1.955,0.115,1.84,0,0,74.37
2.2,0.25,24,25,11,1.74,8.81,0,0,0,0,0,77.58
2.4,0.6,26.9,39,21,3.14,18.13,2.197,0.21,1.988,0,0,76.63
2.4,0.46,26.7,44,18,2.42,15.38,0,0,0,0,0,78.47
1.8,0.49,28.2,33,14,1.61,12.47,0,0,0,0,0,82.65
1.9,0.44,36,45,15,1.85,13.49,0,0,0,0,0,72.5
3,0.39,32.5,54,18,2.51,15.6,0,0,0,0,0,70.15
2.6,0.52,31.9,46,21,3.32,17.64,2.149,0.197,1.952,0,0,68.35
2.5,0.43,29,53,17,2.41,14.62,0,0,0,0,0,71.08
2.3,0.55,26.5,40,23,4.42,18.61,2.115,0.191,1.924,0,0,70.46
1.6,0.48,30.1,38,16,2.24,13.97,0,0,0,0,0,72.73
2.9,0.52,23.7,49,22,3.51,18.24,0,0,0,0,0,72.19
1.9,0.55,24,35,19,3.35,15.42,0,0,0,0,0,75.29
2.6,0.65,20.3,40,29,6.62,22.2,2.183,0.247,1.936,0,0,71.86
2.6,0.67,18.1,37,30,7.64,21.91,2.18,0.254,1.926,0,0,74.7
2.8,0.52,20.1,48,22,4.07,17.79,0,0,0,0,0,75.35
1.8,0.53,20.7,31,18,3.41,14.6,0,0,0,0,0,80
2.7,0.7,23.1,38,28,6.88,21.5,2.184,0.254,1.93,0,0,74.49
2.9,0.51,26.9,43,22,4.14,17.64,0,0,0,0,0,74.77
2.1,0.48,23.7,32,18,3.72,14.37,0,0,0,0,0,78.42
3.1,0.38,41.4,46,17,1.51,14.98,0,0,0,0,0,67.19
2.9,0.52,37.2,38,21,2.52,18.5,2.08,0.184,1.896,0,0,66.46
2.2,0.39,43.1,43,14,1.54,12.6,0,0,0,0,0,71.12
2.5,0.41,36.1,30,16,1.83,13.81,1.969,0.137,1.833,0,0,68.99
1.7,0.29,37.2,30,10,1.52,8.57,0,0,0,0,0,73.9
2.6,0.29,38.3,34,11,1.39,9.8,0,0,0,0,0,71.74
2.1,0.21,26,26,8,1.32,6.32,0,0,0,0,0,78.16
1.4,0.23,25.4,22,9,1.56,7.33,0,0,0,0,0,79.54
2,0.32,25.7,23,11,2.13,9.25,1.931,0.1,1.831,0,0,75.28
1.8,0.2,27.5,22,9,1.6,7.61,0,0,0,0,0,75.82
2.3,0.18,26.2,25,7,1.3,6.16,0,0,0,0,0,74.58
2.4,0.26,23.1,19,11,2.2,8.76,1.831,0.083,1.748,0,0,71.57
2.2,0.34,23.9,17,13,2.14,10.6,1.877,0.107,1.77,0,0,75.77
1.5,0.27,28.2,18,10,1.65,7.88,0,0,0,0,0,82.82
2.1,0.22,27.8,0,9,1.33,7.24,0,0,0,0,0,79.75
