SO2,CO,CO2,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2.6,0.47,0,36.1,20,21.34,3.68,17.66,0,0,0,1.82,22.63,73.86
2.5,0.59,0,35.1,24,28.72,6.12,22.6,2.218,0.21,2.01,1.83,22.62,70.93
3.3,0.62,444.15,30.8,25,33.01,7.61,25.4,2.154,0.215,1.94,1.54,22.59,70.59
2.8,0.74,0,28.2,23,38.88,10,28.88,2.206,0.241,1.97,1.72,23.21,72.57
3.7,1.41,0,0,22,76.59,38.18,38.41,2.605,0.453,2.15,0,0,0
2.7,0.64,0,31,22,32.71,6.4,26.31,0,0,0,1.7,23.25,69.64
2.2,0.22,421.76,54.3,15,4.75,0.54,4.18,0,0,0,0,15.86,85.85
2.8,0.56,435.34,32,22,32.39,7.26,25.13,2.093,0.168,1.93,1.61,18.32,75.61
1.8,0.22,419.06,56.1,14,3.43,0.55,2.84,0,0,0,0,11.9,91.3
2.2,0.45,0,37.6,19,20.38,3.43,16.94,0,0,0,1.83,18.43,77.76
3.4,1.26,0,0,22,76.24,37.91,38.33,2.544,0.394,2.15,0,0,0
2.8,0.64,0,29.8,20,35.94,7.63,28.31,0,0,0,1.73,19.05,75.64
2.5,0.57,0,34.8,24,30.14,5.92,24.22,2.211,0.188,2.02,1.96,18.47,77.19
2.6,0.74,0,27.9,21,41.56,11.68,29.88,2.187,0.224,1.96,1.76,18.89,80.19
2.3,0.48,430.67,30.1,19,27,6.51,20.49,2.011,0.132,1.88,1.82,17.09,69.97
2.1,0.47,0,31.6,23,23.5,4.79,18.71,2.069,0.134,1.94,2.37,17.19,71.76
2.4,0.38,0,36.3,18,16.6,3.46,13.14,0,0,0,2.19,17.18,71.97
1.8,0.22,416.52,47.7,12,3.14,0.51,2.58,0,0,0,0,10.26,91.96
2.4,0.53,0,27.8,20,30.38,6.59,23.79,0,0,0,2.23,17.89,69.47
3.1,1.01,0,0,19,64.48,33.28,31.2,2.37,0.307,2.06,0,0,0
2.3,0.64,0,26.3,20,36.33,10.78,25.55,2.138,0.186,1.95,2.04,17.7,74.21
2.3,0.47,0,28.7,21,23.27,4.86,18.41,2.069,0.133,1.94,2.41,18.41,76.77
2.8,0.52,0,24.3,17,29.8,6.93,22.87,0,0,0,2.37,19.07,73.99
2.2,0.36,0,34.4,15,14.07,2.91,11.15,0,0,0,2.18,18.62,74.62
3.3,0.98,0,0,16,60.4,31.43,28.97,2.375,0.298,2.08,0,0,0
2.5,0.47,428.54,26.2,17,26.58,6.36,20.22,2.005,0.137,1.87,1.82,18.21,75.84
1.4,0.23,416.19,43.4,8,2.68,0.5,2.08,0,0,0,0,11.5,95.28
2.8,0.63,0,22.8,17,34.37,10.05,24.32,2.15,0.188,1.96,2.15,18.95,78.92
1.7,0.21,415.06,43.3,9,2.81,0.61,2.12,0,0,0,0,12.86,93.78
3.1,0.98,0,0,14,61.91,32.98,28.93,2.347,0.308,2.04,0,0,0
2,0.44,0,29.5,17,22.57,5.02,17.55,2.04,0.122,1.92,2.62,20.04,73.44
2.2,0.43,425.52,26.6,16,24.67,5.34,19.33,1.983,0.127,1.86,1.87,20.03,72.99
2,0.33,0,36.7,14,12.82,2.64,10.17,0,0,0,2.49,20.51,69.49
2.3,0.6,0,23.3,17,32.96,9.27,23.69,2.107,0.178,1.93,2.24,20.78,75.57
2.4,0.49,0,23.8,17,29.92,6.66,23.26,0,0,0,2.43,20.99,70.91
2.6,0.38,0,31.5,14,18.2,4.34,13.86,0,0,0,2.18,22.88,73.56
1.9,0.18,412.93,41.6,7,2.88,0.46,2.32,0,0,0,0,16.25,92.53
2.8,0.51,0,21.8,15,31.01,7.19,23.82,0,0,0,2.28,23.59,74.55
2.7,0.47,0,26.2,16,25.38,5.95,19.43,2.042,0.134,1.91,2.25,22.53,76.64
3.6,1.18,0,0,13,69.43,39.23,30.21,2.425,0.381,2.05,0,0,0
2.8,0.62,0,21.4,15,35.2,10.7,24.5,2.08,0.191,1.89,2.08,23.28,78.47
3.3,0.44,426.84,23.4,13,27.94,7.22,20.71,2.008,0.146,1.86,1.74,22.4,76.7
2.5,0.28,0,26.9,12,13.04,3.17,9.87,0,0,0,2.63,27.26,75.78
2.3,0.14,408.9,28.3,7,6.39,1.64,4.73,0,0,0,0,20.48,94.24
2.2,0.37,0,23.4,12,19.22,5.18,14.04,1.931,0.106,1.83,2.53,27.01,76.81
2.5,0.45,0,17.8,14,25.83,7.24,18.59,0,0,0,2.37,28.01,76.84
3.3,1.12,0,0,13,56.28,33.43,22.85,2.323,0.351,1.97,0,0,0
2.5,0.54,0,19,13,30.85,10.96,19.89,1.999,0.164,1.84,2.33,27.6,79.96
2.6,0.34,417.75,22.8,11,20.59,6.63,13.95,1.841,0.11,1.73,1.84,26.71,77.88
1.6,0.14,405.86,34,9,2.77,0.79,1.9,0,0,0,0,21.39,92.87
2.4,0.39,416.74,23.4,12,20.62,6.1,14.51,1.901,0.128,1.77,2,27.7,76.67
3.5,1.25,0,0,14,61.07,36.15,24.92,2.399,0.391,2.01,0,0,0
2.6,0.46,0,19.8,14,24.43,5.94,18.5,0,0,0,2.18,28.88,76.22
2.8,0.53,0,20.6,13,27.99,8.64,19.35,2.019,0.142,1.88,2.29,28.46,78.91
2.7,0.31,0,27.5,14,14.59,3.31,11.28,0,0,0,2.55,28.02,75.7
2.1,0.41,0,23.6,13,20.17,5.34,14.83,1.974,0.118,1.86,2.32,27.76,76.36
2.8,0.44,0,23.9,15,23.23,5.08,18.14,0,0,0,1.86,31.1,67.38
2.7,0.38,0,27.2,13,19.22,4.46,14.76,1.949,0.116,1.83,1.92,29.91,67.15
2.8,0.28,0,29.5,14,14.54,2.87,11.68,0,0,0,2.08,30.11,69.06
1.8,0.11,405.96,36.8,10,3.01,0.95,2.03,0,0,0,0,22.75,85.1
3.7,1.3,0,0,15,58.25,32.91,25.34,2.381,0.397,1.98,0,0,0
2.8,0.37,418.88,25.9,13,21.06,5.36,15.71,1.885,0.137,1.75,1.69,29.98,67.35
2.9,0.5,0,24,13,25.29,6.17,19.12,1.976,0.128,1.85,2.03,30.71,69.5
2.2,0.13,413.71,31.6,12,4.32,0.86,3.42,0,0,0,0,23.59,86.6
2.9,0.54,0,21,15,28.71,8.02,20.69,2.015,0.183,1.83,2.04,30.96,71.76
2.9,0.32,0,23.6,16,16.34,3.06,13.28,0,0,0,2.25,30.25,71.55
2.9,0.41,428.22,23.3,15,23.19,6.37,16.82,1.89,0.159,1.73,1.71,30.29,68.99
2.5,0.4,0,26.2,14,19.99,4.92,15.07,1.966,0.138,1.83,2.03,30.04,70.24
2.6,0.46,0,22.4,16,22.83,5.23,17.6,0,0,0,1.86,31.28,69.82
3.9,1.42,0,0,16,61.37,35.68,25.69,2.433,0.434,2,0,0,0
3,0.67,0,18.5,13,35.33,11.79,23.54,2.095,0.245,1.85,1.76,29.92,75.35
3.2,0.51,436.46,20.4,13,29.52,10.1,19.42,1.967,0.202,1.77,1.53,29.2,72.86
2,0.15,413.81,31.1,10,5.02,0.88,4.11,0,0,0,0,23.26,88.9
2.3,0.49,0,24.3,12,25.03,7.21,17.81,2.02,0.173,1.85,1.68,28.85,74.87
