序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","苯<br />BENZENE<br />(ppb)","甲苯<br />TOLUENE<br />(ppb)","乙苯<br />ETHYLBENZENE<br />(ppb)","間、對二甲苯<br />M_P_XYLENES<br />(ppb)","鄰二甲苯<br />O_XYLENE<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨強度<br />RAIN_INT<br />(㎜)","降雨量<br />RAINFALL<br />(mm)","酸雨<br />PH_RAIN<br />(pH)","相對濕度<br />RH<br />(percent)","導電度<br />RAIN_COND<br />(μmho/cm)","紫外線指數<br />UVB<br />(UVI)","小時風向值<br />WD_HR<br />(degrees)"
712,高雄市,2013/12,橋頭,5.3,0.61,23.2,94.0,57,29,4.87,24.32,-,-,-,-,-,-,-,-,-,2.52,-,-,18.58,-,-,-,73.87,-,-,-
713,高雄市,2013/12,前金,5.5,0.7,25.9,102.0,68,32,4.56,27.56,-,-,-,-,-,-,-,-,-,2.46,-,-,19.27,-,-,-,68.53,-,-,-
714,高雄市,2013/12,復興,6.5,1.06,19.9,97.0,57,47,10.82,35.91,-,-,-,-,-,-,-,-,-,0.83,-,-,19.7,-,-,-,67.47,-,-,-
715,高雄市,2013/12,仁武,7.3,0.64,21.5,98.0,57,37,7.88,29.51,-,-,-,-,-,-,-,-,-,2.05,-,-,18.82,-,-,-,69.28,-,-,-
716,高雄市,2013/12,林園,10.4,0.66,22.0,59.0,43,34,6.77,27.52,-,-,-,-,-,-,-,-,-,2.61,-,-,19.51,-,-,-,71.09,-,-,-
717,高雄市,2013/12,鳳山,8.9,0.77,21.2,108.0,59,39,8.49,30.87,-,-,-,-,-,-,-,-,-,2.0,-,-,19.53,-,-,-,67.64,-,-,-
718,高雄市,2013/12,美濃,2.3,0.49,28.0,74.0,56,16,2.53,13.43,-,-,-,-,-,-,-,-,-,1.09,-,-,19.12,-,-,-,74.22,-,-,-
719,高雄市,2013/12,楠梓,4.9,0.6,24.9,112.0,58,32,5.79,26.39,-,-,-,-,-,-,-,-,-,2.3,-,-,18.7,-,-,-,71.67,-,-,-
720,高雄市,2013/12,左營,5.5,0.65,26.4,92.0,60,30,4.14,25.51,-,-,-,-,-,-,-,-,-,2.51,-,-,18.58,-,-,-,68.66,-,-,-
721,高雄市,2013/11,前鎮,7.0,0.74,31.2,107.0,60,37,6.14,30.38,-,2.338,0.333,2.006,-,-,-,-,-,-,-,-,23.9,-,-,-,71.74,-,-,-
722,高雄市,2013/11,小港,9.3,0.69,29.6,117.0,62,41,7.51,33.92,-,2.287,0.331,1.956,-,-,-,-,-,-,-,-,25.03,-,-,-,68.15,-,-,-
723,高雄市,2013/11,復興,7.1,0.97,27.4,105.0,55,40,7.58,32.74,-,2.58,0.474,2.106,-,-,-,-,-,-,-,-,24.21,-,-,-,69.5,-,-,-
724,高雄市,2013/11,鳳山,8.5,0.73,29.7,122.0,57,33,4.76,28.34,-,2.46,0.398,2.062,-,-,-,-,-,-,-,-,24.57,-,-,-,72.8,-,-,-
725,高雄市,2013/11,左營,5.7,0.61,35.6,105.0,60,26,3.4,22.11,-,2.31,0.244,2.066,-,-,-,-,-,-,-,-,23.21,-,-,-,70.75,-,-,-
726,高雄市,2013/11,楠梓,4.9,0.55,32.7,117.0,55,26,4.74,21.49,-,2.151,0.208,1.943,-,-,-,-,-,-,-,-,23.33,-,-,-,73.52,-,-,-
727,高雄市,2013/11,林園,7.9,0.5,34.4,64.0,42,23,2.75,20.16,-,2.282,0.175,2.107,-,-,-,-,-,-,-,-,23.8,-,-,-,73.64,-,-,-
728,高雄市,2013/11,大寮,6.7,0.57,32.0,98.0,61,26,3.25,23.22,-,2.272,0.269,2.004,-,-,-,-,-,-,-,-,23.9,-,-,-,72.06,-,-,-
729,高雄市,2013/11,橋頭,5.4,0.57,31.2,115.0,57,25,3.99,21.22,-,-,-,-,-,-,-,-,-,-,-,-,23.39,-,-,-,73.13,-,-,-
730,高雄市,2013/11,仁武,7.2,0.6,28.6,106.0,55,34,6.16,27.77,-,2.365,0.319,2.047,-,-,-,-,-,-,-,-,23.41,-,-,-,72.65,-,-,-
731,高雄市,2013/11,美濃,2.5,0.44,32.1,81.0,53,14,2.43,11.26,-,-,-,-,-,-,-,-,-,-,-,-,23.7,-,-,-,75.11,-,-,-
732,高雄市,2013/11,前金,5.2,0.62,33.4,111.0,62,27,3.39,23.29,-,2.235,0.245,1.99,-,-,-,-,-,-,-,-,23.9,-,-,-,71.09,-,-,-
733,高雄市,2013/10,仁武,6.5,0.45,40.3,85.0,38,25,3.37,21.89,-,2.222,0.233,1.989,-,-,-,-,-,-,-,-,26.04,-,-,-,71.6,-,-,-
734,高雄市,2013/10,林園,5.8,0.34,45.3,49.0,35,15,1.65,13.16,-,2.128,0.127,2.001,-,-,-,-,-,-,-,-,26.14,-,-,-,71.94,-,-,-
735,高雄市,2013/10,鳳山,6.5,0.58,40.9,104.0,45,23,2.27,21.06,-,2.314,0.291,2.023,-,-,-,-,-,-,-,-,27.22,-,-,-,67.36,-,-,-
736,高雄市,2013/10,橋頭,4.6,0.42,42.6,96.0,47,18,2.08,16.37,-,-,-,-,-,-,-,-,-,-,-,-,25.98,-,-,-,71.62,-,-,-
737,高雄市,2013/10,楠梓,4.5,0.43,44.0,98.0,46,21,3.0,17.51,-,2.042,0.162,1.88,-,-,-,-,-,-,-,-,25.98,-,-,-,71.31,-,-,-
738,高雄市,2013/10,前鎮,7.1,0.53,42.6,99.0,50,27,3.43,24.04,-,2.118,0.24,1.879,-,-,-,-,-,-,-,-,26.3,-,-,-,66.6,-,-,-
739,高雄市,2013/10,大寮,5.5,0.42,41.7,88.0,46,18,1.99,16.48,-,2.146,0.198,1.948,-,-,-,-,-,-,-,-,26.14,-,-,-,70.4,-,-,-
740,高雄市,2013/10,美濃,2.4,0.34,44.2,72.0,41,10,1.63,8.43,-,-,-,-,-,-,-,-,-,-,-,-,26.27,-,-,-,71.74,-,-,-
741,高雄市,2013/10,小港,7.8,0.48,41.4,92.0,47,28,3.59,23.96,-,2.11,0.206,1.904,-,-,-,-,-,-,-,-,27.39,-,-,-,67.61,-,-,-
742,高雄市,2013/10,左營,5.0,0.48,47.7,89.0,51,19,2.44,16.8,-,2.201,0.198,2.003,-,-,-,-,-,-,-,-,26.02,-,-,-,68.46,-,-,-
743,高雄市,2013/10,前金,4.9,0.49,44.5,93.0,50,20,2.08,17.53,-,2.117,0.179,1.938,-,-,-,-,-,-,-,-,26.41,-,-,-,69.01,-,-,-
744,高雄市,2013/10,復興,6.6,0.73,37.7,97.0,42,30,4.18,25.6,-,2.393,0.362,2.031,-,-,-,-,-,-,-,-,26.65,-,-,-,68.67,-,-,-
745,高雄市,2013/09,楠梓,4.3,0.38,39.2,65.0,38,17,3.04,14.42,-,2.019,0.186,1.833,-,-,-,-,-,1.67,-,-,28.61,-,-,-,76.23,-,-,-
746,高雄市,2013/09,左營,4.3,0.4,44.7,56.0,39,15,2.67,12.11,-,2.101,0.15,1.951,-,-,-,-,-,1.81,-,-,28.6,-,-,-,75.29,-,-,-
747,高雄市,2013/09,鳳山,4.2,0.55,37.3,67.0,36,18,1.85,15.92,-,2.264,0.264,2.0,-,-,-,-,-,1.74,-,-,29.46,-,-,-,72.25,-,-,-
748,高雄市,2013/09,小港,8.6,0.43,37.4,58.0,38,21,3.11,18.24,-,2.053,0.167,1.886,-,-,-,-,-,2.06,-,-,29.5,-,-,-,73.66,-,-,-
749,高雄市,2013/09,前鎮,6.5,0.42,39.3,59.0,38,20,2.88,17.49,-,2.057,0.186,1.871,-,-,-,-,-,1.65,-,-,28.52,-,-,-,72.31,-,-,-
750,高雄市,2013/09,復興,6.1,0.63,34.5,55.0,31,22,3.56,18.83,-,2.263,0.268,1.995,-,-,-,-,-,0.81,-,-,28.66,-,-,-,74.71,-,-,-
751,高雄市,2013/09,前金,4.6,0.42,41.4,54.0,40,14,1.95,12.44,-,2.041,0.147,1.894,-,-,-,-,-,1.97,-,-,28.84,-,-,-,74.43,-,-,-
752,高雄市,2013/09,美濃,1.6,0.27,37.6,43.0,29,7,1.53,5.43,-,-,-,-,-,-,-,-,-,0.99,-,-,28.11,-,-,-,78.23,-,-,-
753,高雄市,2013/09,仁武,5.1,0.38,38.2,58.0,34,18,2.52,15.6,-,2.086,0.173,1.913,-,-,-,-,-,1.77,-,-,28.43,-,-,-,76.99,-,-,-
754,高雄市,2013/09,橋頭,3.7,0.36,38.2,61.0,37,14,1.92,12.17,-,-,-,-,-,-,-,-,-,2.2,-,-,28.53,-,-,-,77.44,-,-,-
755,高雄市,2013/09,大寮,4.3,0.38,37.3,61.0,39,15,2.25,12.93,-,2.142,0.157,1.985,-,-,-,-,-,1.38,-,-,28.19,-,-,-,77.48,-,-,-
756,高雄市,2013/09,林園,3.6,0.23,42.6,35.0,28,8,1.29,6.67,-,2.04,0.067,1.973,-,-,-,-,-,2.33,-,-,28.0,-,-,-,77.72,-,-,-
757,高雄市,2013/08,左營,4.5,0.34,21.4,35.0,24,17,5.09,11.9,-,1.989,0.159,1.83,-,-,-,-,-,-,-,-,28.92,-,-,-,80.54,-,-,-
758,高雄市,2013/08,鳳山,4.3,0.47,18.3,43.0,20,17,3.23,13.96,-,2.146,0.238,1.908,-,-,-,-,-,-,-,-,29.52,-,-,-,77.4,-,-,-
759,高雄市,2013/08,小港,10.2,0.35,18.1,37.0,20,21,5.65,15.41,-,1.982,0.194,1.788,-,-,-,-,-,-,-,-,29.72,-,-,-,78.01,-,-,-
760,高雄市,2013/08,前鎮,6.6,0.31,18.0,33.0,22,20,5.0,15.19,-,2.012,0.213,1.799,-,-,-,-,-,-,-,-,28.91,-,-,-,76.82,-,-,-
761,高雄市,2013/08,復興,6.2,0.5,15.8,33.0,14,21,5.22,15.8,-,2.161,0.253,1.907,-,-,-,-,-,-,-,-,28.98,-,-,-,78.17,-,-,-
762,高雄市,2013/08,林園,2.9,0.15,24.3,25.0,14,8,1.65,6.46,-,1.967,0.07,1.898,-,-,-,-,-,-,-,-,28.3,-,-,-,78.52,-,-,-
763,高雄市,2013/08,楠梓,5.0,0.3,20.0,40.0,21,18,5.17,13.11,-,1.966,0.217,1.749,-,-,-,-,-,-,-,-,29.04,-,-,-,79.93,-,-,-
764,高雄市,2013/08,美濃,1.1,0.16,22.5,22.0,12,6,1.74,4.03,-,-,-,-,-,-,-,-,-,-,-,-,28.02,-,-,-,83.02,-,-,-
765,高雄市,2013/08,仁武,5.1,0.3,18.9,34.0,17,18,4.17,14.15,-,2.02,0.163,1.857,-,-,-,-,-,-,-,-,28.73,-,-,-,80.85,-,-,-
766,高雄市,2013/08,橋頭,3.7,0.25,20.8,36.0,18,14,3.33,10.47,-,-,-,-,-,-,-,-,-,-,-,-,29.17,-,-,-,80.77,-,-,-
767,高雄市,2013/08,大寮,3.6,0.25,19.2,32.0,19,12,2.72,9.75,-,2.043,0.125,1.918,-,-,-,-,-,-,-,-,28.37,-,-,-,82.36,-,-,-
768,高雄市,2013/08,前金,5.1,0.32,19.4,33.0,20,15,3.83,11.35,-,1.957,0.158,1.799,-,-,-,-,-,-,-,-,29.16,-,-,-,78.25,-,-,-
769,高雄市,2013/07,左營,5.2,0.33,20.6,40.0,25,19,5.98,12.69,-,1.989,0.167,1.821,-,-,-,-,-,-,-,-,29.55,-,-,-,74.03,-,-,-
770,高雄市,2013/07,鳳山,4.2,0.43,18.4,43.0,21,17,3.23,13.34,-,2.12,0.227,1.893,-,-,-,-,-,-,-,-,30.61,-,-,-,68.96,-,-,-
771,高雄市,2013/07,小港,8.3,0.31,18.2,37.0,20,20,5.79,14.25,-,1.976,0.208,1.768,-,-,-,-,-,-,-,-,30.35,-,-,-,71.85,-,-,-
772,高雄市,2013/07,前鎮,7.7,0.31,16.6,33.0,21,21,5.75,15.15,-,2.047,0.236,1.811,-,-,-,-,-,-,-,-,29.45,-,-,-,70.7,-,-,-
773,高雄市,2013/07,復興,6.5,0.5,15.4,32.0,13,22,6.19,15.73,-,2.142,0.257,1.885,-,-,-,-,-,-,-,-,29.61,-,-,-,72.68,-,-,-
774,高雄市,2013/07,林園,3.0,0.14,20.7,22.0,13,7,1.45,5.92,-,1.943,0.043,1.902,-,-,-,-,-,-,-,-,28.78,-,-,-,72.92,-,-,-
775,高雄市,2013/07,楠梓,4.7,0.28,21.5,40.0,21,18,5.05,12.62,-,1.898,0.162,1.736,-,-,-,-,-,-,-,-,29.56,-,-,-,73.82,-,-,-
776,高雄市,2013/07,美濃,1.2,0.17,24.6,26.0,14,6,1.69,4.3,-,-,-,-,-,-,-,-,-,-,-,-,28.59,-,-,-,75.5,-,-,-
777,高雄市,2013/07,仁武,5.7,0.28,19.2,38.0,18,19,4.46,14.17,-,2.021,0.154,1.867,-,-,-,-,-,-,-,-,29.44,-,-,-,74.14,-,-,-
778,高雄市,2013/07,橋頭,3.7,0.23,21.5,35.0,18,13,3.11,10.36,-,-,-,-,-,-,-,-,-,-,-,-,29.4,-,-,-,75.79,-,-,-
779,高雄市,2013/07,大寮,3.7,0.22,17.8,37.0,19,13,2.84,9.78,-,1.974,0.136,1.839,-,-,-,-,-,-,-,-,29.19,-,-,-,74.59,-,-,-
780,高雄市,2013/07,前金,5.8,0.32,19.0,34.0,22,17,4.32,12.21,-,1.936,0.152,1.784,-,-,-,-,-,-,-,-,29.88,-,-,-,71.79,-,-,-
781,高雄市,2013/06,左營,4.5,0.37,25.0,51.0,29,17,4.92,12.35,-,2.0,0.163,1.837,-,-,-,-,-,-,-,-,29.79,-,-,-,75.33,-,-,-
782,高雄市,2013/06,鳳山,3.6,0.47,22.5,50.0,25,16,2.76,13.63,-,2.15,0.23,1.92,-,-,-,-,-,-,-,-,30.81,-,-,-,69.44,-,-,-
783,高雄市,2013/06,小港,8.1,0.34,21.6,45.0,25,18,5.04,13.21,-,1.965,0.174,1.792,-,-,-,-,-,-,-,-,30.49,-,-,-,72.71,-,-,-
784,高雄市,2013/06,前鎮,6.2,0.32,21.6,38.0,26,18,3.49,14.48,-,2.022,0.194,1.829,-,-,-,-,-,-,-,-,29.69,-,-,-,71.75,-,-,-
785,高雄市,2013/06,復興,5.7,0.52,19.7,39.0,18,20,4.71,15.67,-,2.142,0.236,1.906,-,-,-,-,-,-,-,-,29.74,-,-,-,73.66,-,-,-
786,高雄市,2013/06,林園,2.9,0.17,25.9,25.0,16,7,1.38,5.52,-,1.917,0.041,1.877,-,-,-,-,-,-,-,-,28.57,-,-,-,73.54,-,-,-
787,高雄市,2013/06,楠梓,4.3,0.33,23.4,47.0,26,17,4.3,12.71,-,1.896,0.149,1.746,-,-,-,-,-,-,-,-,29.72,-,-,-,74.93,-,-,-
788,高雄市,2013/06,美濃,1.3,0.21,24.1,31.0,17,6,1.54,4.78,-,-,-,-,-,-,-,-,-,-,-,-,29.32,-,-,-,73.86,-,-,-
789,高雄市,2013/06,仁武,4.8,0.3,22.7,50.0,24,17,3.47,13.07,-,2.029,0.144,1.884,-,-,-,-,-,-,-,-,29.46,-,-,-,75.66,-,-,-
790,高雄市,2013/06,橋頭,3.4,0.29,23.9,39.0,23,13,3.16,10.29,-,-,-,-,-,-,-,-,-,-,-,-,29.66,-,-,-,76.46,-,-,-
791,高雄市,2013/06,大寮,3.3,0.27,21.5,38.0,24,13,2.64,10.82,-,2.003,0.14,1.862,-,-,-,-,-,-,-,-,29.57,-,-,-,73.81,-,-,-
792,高雄市,2013/06,前金,4.8,0.38,23.7,45.0,27,15,3.16,11.41,-,1.958,0.15,1.808,-,-,-,-,-,-,-,-,29.93,-,-,-,73.41,-,-,-
793,高雄市,2013/05,左營,4.1,0.4,24.5,47.0,28,19,4.71,14.16,-,2.031,0.165,1.866,-,-,-,-,-,-,-,-,27.64,-,-,-,79.73,-,-,-
794,高雄市,2013/05,鳳山,4.7,0.56,20.9,51.0,26,20,3.47,16.94,-,2.24,0.277,1.963,-,-,-,-,-,-,-,-,28.51,-,-,-,75.66,-,-,-
795,高雄市,2013/05,小港,9.0,0.37,20.9,44.0,25,24,6.77,17.37,-,2.062,0.24,1.822,-,-,-,-,-,-,-,-,28.24,-,-,-,77.57,-,-,-
796,高雄市,2013/05,前鎮,7.2,0.34,21.6,37.0,24,23,4.9,17.79,-,2.062,0.215,1.846,-,-,-,-,-,-,-,-,27.52,-,-,-,76.79,-,-,-
797,高雄市,2013/05,復興,6.6,0.54,19.6,38.0,19,25,5.67,19.74,-,2.228,0.295,1.933,-,-,-,-,-,-,-,-,27.56,-,-,-,78.37,-,-,-
798,高雄市,2013/05,林園,3.4,0.17,29.8,22.0,14,9,1.52,7.42,-,1.892,0.054,1.839,-,-,-,-,-,-,-,-,26.61,-,-,-,77.71,-,-,-
799,高雄市,2013/05,楠梓,4.8,0.35,22.4,48.0,27,20,4.53,15.18,-,1.979,0.19,1.789,-,-,-,-,-,-,-,-,27.67,-,-,-,79.05,-,-,-
800,高雄市,2013/05,美濃,1.5,0.23,24.8,31.0,20,7,1.93,5.29,-,-,-,-,-,-,-,-,-,-,-,-,27.56,-,-,-,79.38,-,-,-
801,高雄市,2013/05,仁武,5.1,0.36,22.6,51.0,24,21,3.93,16.97,-,2.042,0.16,1.882,-,-,-,-,-,-,-,-,27.49,-,-,-,79.19,-,-,-
802,高雄市,2013/05,橋頭,3.6,0.31,23.7,43.0,27,15,2.95,12.34,-,-,-,-,-,-,-,-,-,-,-,-,27.82,-,-,-,80.1,-,-,-
803,高雄市,2013/05,大寮,4.0,0.29,20.7,38.0,25,16,2.85,12.81,-,2.129,0.159,1.97,-,-,-,-,-,-,-,-,27.43,-,-,-,80.61,-,-,-
804,高雄市,2013/05,前金,5.0,0.41,23.8,41.0,26,18,3.72,14.28,-,2.014,0.172,1.841,-,-,-,-,-,-,-,-,27.73,-,-,-,77.81,-,-,-
805,高雄市,2013/04,左營,4.4,0.55,39.1,69.0,43,21,2.48,18.09,-,2.188,0.188,2.001,-,-,-,-,-,-,-,-,24.72,-,-,-,76.63,-,-,-
806,高雄市,2013/04,小港,8.4,0.61,32.5,69.0,43,32,5.22,26.58,-,2.188,0.261,1.927,-,-,-,-,-,-,-,-,25.76,-,-,-,72.02,-,-,-
807,高雄市,2013/04,前鎮,6.6,0.57,34.9,66.0,43,27,3.5,23.31,-,2.241,0.264,1.977,-,-,-,-,-,-,-,-,24.97,-,-,-,72.63,-,-,-
808,高雄市,2013/04,復興,6.4,0.87,31.6,70.0,39,33,5.05,27.79,-,2.459,0.375,2.084,-,-,-,-,-,-,-,-,25.09,-,-,-,72.34,-,-,-
809,高雄市,2013/04,前金,5.0,0.59,37.6,72.0,46,21,2.42,18.55,-,2.17,0.198,1.972,-,-,-,-,-,-,-,-,25.12,-,-,-,73.93,-,-,-
810,高雄市,2013/04,鳳山,6.2,0.7,32.7,79.0,42,26,3.2,22.89,-,2.396,0.323,2.073,-,-,-,-,-,-,-,-,25.92,-,-,-,71.51,-,-,-
811,高雄市,2013/04,美濃,1.8,0.42,32.8,46.0,32,11,1.78,8.9,-,-,-,-,-,-,-,-,-,-,-,-,25.55,-,-,-,75.81,-,-,-
812,高雄市,2013/04,橋頭,3.8,0.5,33.3,69.0,49,20,2.71,16.93,-,-,-,-,-,-,-,-,-,-,-,-,24.77,-,-,-,76.36,-,-,-
813,高雄市,2013/04,大寮,6.1,0.52,32.2,62.0,46,22,2.47,19.92,-,2.311,0.23,2.081,-,-,-,-,-,-,-,-,25.05,-,-,-,78.37,-,-,-
814,高雄市,2013/04,仁武,6.6,0.55,32.4,72.0,39,28,4.57,23.7,-,2.244,0.24,2.004,-,-,-,-,-,-,-,-,24.65,-,-,-,75.69,-,-,-
815,高雄市,2013/04,林園,6.3,0.44,36.7,39.0,31,19,2.32,16.65,-,2.099,0.099,2.0,-,-,-,-,-,-,-,-,24.26,-,-,-,77.05,-,-,-
816,高雄市,2013/04,楠梓,4.2,0.52,33.6,74.0,44,23,3.23,19.36,-,2.095,0.198,1.897,-,-,-,-,-,-,-,-,24.6,-,-,-,75.98,-,-,-
817,高雄市,2013/03,左營,4.8,0.53,37.0,85.0,45,22,4.2,17.71,-,2.206,0.196,2.01,-,-,-,-,-,-,-,-,23.25,-,-,-,71.47,-,-,-
818,高雄市,2013/03,小港,7.9,0.59,30.7,85.0,47,34,6.07,28.42,-,2.176,0.257,1.919,-,-,-,-,-,-,-,-,24.4,-,-,-,67.63,-,-,-
819,高雄市,2013/03,前鎮,6.1,0.55,33.1,82.0,45,28,4.01,24.34,-,2.241,0.266,1.975,-,-,-,-,-,-,-,-,23.55,-,-,-,68.57,-,-,-
820,高雄市,2013/03,復興,6.4,0.81,30.0,88.0,42,34,6.5,27.0,-,2.458,0.371,2.087,-,-,-,-,-,-,-,-,23.88,-,-,-,67.72,-,-,-
821,高雄市,2013/03,前金,5.4,0.56,35.3,91.0,50,23,3.35,19.33,-,2.167,0.202,1.965,-,-,-,-,-,-,-,-,23.57,-,-,-,69.21,-,-,-
822,高雄市,2013/03,鳳山,6.8,0.66,30.4,97.0,47,29,4.29,24.26,-,2.397,0.327,2.07,-,-,-,-,-,-,-,-,24.66,-,-,-,66.21,-,-,-
823,高雄市,2013/03,美濃,2.1,0.38,36.6,62.0,40,12,1.71,9.98,-,-,-,-,-,-,-,-,-,-,-,-,24.17,-,-,-,69.83,-,-,-
824,高雄市,2013/03,橋頭,4.0,0.47,33.0,84.0,49,20,3.28,17.2,-,-,-,-,-,-,-,-,-,-,-,-,23.19,-,-,-,71.27,-,-,-
825,高雄市,2013/03,大寮,7.2,0.51,32.6,78.0,51,27,4.18,22.72,-,2.338,0.26,2.079,-,-,-,-,-,-,-,-,23.87,-,-,-,71.59,-,-,-
826,高雄市,2013/03,仁武,5.7,0.5,30.9,92.0,42,29,5.17,23.39,-,2.197,0.235,1.962,-,-,-,-,-,-,-,-,23.28,-,-,-,70.75,-,-,-
827,高雄市,2013/03,林園,7.3,0.42,37.1,51.0,34,23,3.06,19.43,-,2.131,0.126,2.005,-,-,-,-,-,-,-,-,23.11,-,-,-,71.56,-,-,-
828,高雄市,2013/03,楠梓,4.2,0.48,33.2,94.0,46,24,4.08,20.07,-,2.058,0.178,1.88,-,-,-,-,-,-,-,-,23.21,-,-,-,70.75,-,-,-
829,高雄市,2013/02,左營,4.0,0.59,34.2,98.0,57,21,3.8,17.35,-,2.263,0.195,2.068,-,-,-,-,-,-,-,-,21.49,-,-,-,74.57,-,-,-
830,高雄市,2013/02,小港,7.8,0.65,29.3,95.0,57,37,6.9,30.25,-,2.219,0.277,1.942,-,-,-,-,-,-,-,-,22.62,-,-,-,69.71,-,-,-
831,高雄市,2013/02,前鎮,4.6,0.63,31.5,91.0,53,29,4.25,24.67,-,2.276,0.277,1.999,-,-,-,-,-,-,-,-,21.86,-,-,-,71.17,-,-,-
832,高雄市,2013/02,復興,5.7,0.89,28.9,99.0,49,34,7.04,27.17,-,2.491,0.389,2.102,-,-,-,-,-,-,-,-,22.19,-,-,-,70.55,-,-,-
833,高雄市,2013/02,前金,4.3,0.64,33.0,110.0,56,24,3.26,21.09,-,2.209,0.209,2.0,-,-,-,-,-,-,-,-,21.85,-,-,-,72.45,-,-,-
834,高雄市,2013/02,鳳山,7.9,0.69,28.9,110.0,54,31,4.69,26.31,-,2.426,0.336,2.09,-,-,-,-,-,-,-,-,22.99,-,-,-,69.61,-,-,-
835,高雄市,2013/02,美濃,1.8,0.42,35.8,72.0,46,12,1.98,9.64,-,-,-,-,-,-,-,-,-,-,-,-,22.71,-,-,-,72.7,-,-,-
836,高雄市,2013/02,橋頭,3.4,0.51,31.3,93.0,55,20,3.12,16.47,-,-,-,-,-,-,-,-,-,-,-,-,21.4,-,-,-,75.45,-,-,-
837,高雄市,2013/02,大寮,5.8,0.54,35.1,83.0,53,24,2.8,20.98,-,2.235,0.216,2.019,-,-,-,-,-,-,-,-,22.56,-,-,-,73.53,-,-,-
838,高雄市,2013/02,仁武,6.2,0.54,30.8,99.0,48,28,4.79,23.0,-,2.226,0.236,1.989,-,-,-,-,-,-,-,-,21.5,-,-,-,73.95,-,-,-
839,高雄市,2013/02,林園,7.3,0.48,35.3,59.0,39,26,3.48,22.39,-,2.213,0.161,2.051,-,-,-,-,-,-,-,-,21.72,-,-,-,71.29,-,-,-
840,高雄市,2013/02,楠梓,3.4,0.5,32.7,110.0,51,22,3.52,18.93,-,2.031,0.157,1.874,-,-,-,-,-,-,-,-,21.44,-,-,-,73.73,-,-,-
841,高雄市,2013/01,左營,4.4,0.67,26.7,98.0,58,28,4.48,23.61,-,2.302,0.239,2.063,-,-,-,-,-,-,-,-,18.55,-,-,-,73.54,-,-,-
842,高雄市,2013/01,小港,8.4,0.78,20.6,91.0,63,51,14.86,36.08,-,2.283,0.354,1.929,-,-,-,-,-,-,-,-,19.94,-,-,-,68.49,-,-,-
843,高雄市,2013/01,前鎮,5.0,0.8,23.5,97.0,60,38,7.79,30.6,-,2.324,0.35,1.974,-,-,-,-,-,-,-,-,19.09,-,-,-,69.61,-,-,-
844,高雄市,2013/01,復興,6.0,1.03,21.1,104.0,51,45,11.66,33.68,-,2.557,0.483,2.074,-,-,-,-,-,-,-,-,19.42,-,-,-,69.57,-,-,-
845,高雄市,2013/01,前金,4.5,0.72,25.1,108.0,60,31,5.34,25.71,-,2.24,0.256,1.984,-,-,-,-,-,-,-,-,18.94,-,-,-,71.54,-,-,-
846,高雄市,2013/01,鳳山,9.2,0.75,21.5,110.0,60,39,9.28,29.63,-,2.434,0.39,2.044,-,-,-,-,-,-,-,-,19.83,-,-,-,70.28,-,-,-
847,高雄市,2013/01,美濃,1.6,0.48,27.9,68.0,46,14,2.69,11.28,-,-,-,-,-,-,-,-,-,-,-,-,18.7,-,-,-,76.25,-,-,-
848,高雄市,2013/01,橋頭,4.2,0.59,23.7,91.0,55,27,4.49,22.16,-,-,-,-,-,-,-,-,-,-,-,-,18.35,-,-,-,75.94,-,-,-
849,高雄市,2013/01,大寮,6.3,0.63,25.8,89.0,56,32,4.95,26.59,-,2.276,0.299,1.977,-,-,-,-,-,-,-,-,19.54,-,-,-,73.21,-,-,-
850,高雄市,2013/01,仁武,7.2,0.62,22.5,102.0,56,37,8.54,28.17,-,2.289,0.287,2.003,-,-,-,-,-,-,-,-,18.64,-,-,-,73.67,-,-,-
851,高雄市,2013/01,林園,10.2,0.58,28.1,61.0,41,36,7.09,28.63,-,2.291,0.262,2.029,-,-,-,-,-,-,-,-,19.12,-,-,-,69.84,-,-,-
852,高雄市,2013/01,楠梓,3.8,0.57,24.0,107.0,54,30,5.72,24.2,-,2.078,0.177,1.901,-,-,-,-,-,-,-,-,18.45,-,-,-,74.44,-,-,-
853,高雄市,2012/12,小港,8.7,0.7,22.4,73.0,50,44,11.39,32.88,-,2.224,0.33,1.894,-,-,-,-,-,-,-,-,21.71,-,-,-,72.0,-,-,-
854,高雄市,2012/12,林園,9.5,0.56,30.2,51.0,33,29,4.78,23.83,-,2.238,0.207,2.031,-,-,-,-,-,-,-,-,20.4,-,-,-,77.94,-,-,-
