序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","二氧化碳<br />CO2<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","平均風速<br />WS_HR<br />(m/sec)","平均風向<br />WD_HR<br />(degress)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨量<br />RAINFALL<br />(mm)","酸雨pH值<br />pH_RAIN","相對濕度<br />RH<br />(percent)","紫外線指數<br />UVB<br />(UVI)"
1069,高雄市,2001/06,左營,6.5,0.74,-,24.1,34,-,19.91,5.89,14.03,2.239,0.26,1.98,-,-,27.99,-,-,-,-
1070,高雄市,2001/06,楠梓,4.6,0.47,-,19.7,37,-,23.61,7.6,16.01,2.319,0.25,2.07,-,-,28.43,-,-,-,-
1071,高雄市,2001/06,前金,7.4,0.7,-,18.5,27,-,21.73,7.13,14.6,-,-,-,-,-,28.61,-,-,-,-
1072,高雄市,2001/06,前鎮,11.7,-,-,-,38,-,24.4,8.5,15.9,2.103,0.31,1.79,-,-,28.89,-,-,-,-
1073,高雄市,2001/06,復興,11.4,0.88,-,-,44,-,33.65,12.27,21.38,2.377,0.49,1.89,-,-,28.78,-,-,-,-
1074,高雄市,2001/06,小港,12.6,0.77,-,15.7,37,-,34.35,13.33,21.02,2.233,0.26,1.97,-,-,28.75,-,-,-,-
1075,高雄市,2001/06,鳳山,7.2,0.98,-,23.2,40,39,23.33,7.86,15.47,-,-,-,-,-,29.41,-,-,-,-
1076,高雄市,2001/06,林園,2.6,0.36,-,13.2,38,17,9.4,1.83,7.6,2.189,0.26,1.92,-,-,28.32,-,-,-,-
1077,高雄市,2001/06,大寮,6.7,0.49,-,17.2,36,-,14.27,2.98,11.3,2.187,0.15,2.03,-,-,28.48,-,-,-,-
1078,高雄市,2001/06,仁武,6.6,0.47,-,23.9,36,-,22.56,6.24,16.34,2.977,0.26,2.72,-,-,28.53,-,-,-,-
1079,高雄市,2001/06,橋頭,4.5,0.5,-,19.0,26,-,24.8,10.97,13.83,2.142,0.11,2.03,-,-,27.94,-,-,-,-
1080,高雄市,2001/06,美濃,0.8,0.35,-,26.3,33,-,7.35,1.2,6.15,-,-,-,-,-,27.42,-,-,-,-
1081,高雄市,2001/05,左營,6.0,0.76,-,36.3,56,-,20.94,3.9,17.04,2.297,0.23,2.07,-,-,27.47,-,-,-,-
1082,高雄市,2001/05,楠梓,4.9,0.56,-,27.0,56,-,26.07,5.93,20.15,2.693,0.47,2.23,-,-,27.36,-,-,-,-
1083,高雄市,2001/05,前金,6.2,0.74,-,30.1,43,-,19.99,3.01,16.98,-,-,-,-,-,27.43,-,-,-,-
1084,高雄市,2001/05,前鎮,12.3,-,-,-,54,-,25.61,6.51,19.1,2.2,0.33,1.87,-,-,27.81,-,-,-,-
1085,高雄市,2001/05,復興,9.5,1.04,-,-,67,-,36.41,10.16,26.24,2.647,0.56,2.09,-,-,27.87,-,-,-,-
1086,高雄市,2001/05,小港,13.0,0.7,-,29.6,51,-,33.44,8.03,25.41,2.295,0.31,1.99,-,-,27.73,-,-,-,-
1087,高雄市,2001/05,鳳山,8.8,1.06,-,32.5,69,43,29.19,7.92,21.27,-,-,-,-,-,28.27,-,-,-,-
1088,高雄市,2001/05,林園,5.5,0.44,-,19.5,45,25,12.68,1.72,10.95,2.215,0.25,1.96,-,-,27.48,-,-,-,-
1089,高雄市,2001/05,大寮,8.1,0.6,-,30.2,60,-,16.43,2.24,14.24,2.288,0.18,2.11,-,-,27.59,-,-,-,-
1090,高雄市,2001/05,仁武,7.7,0.59,-,33.3,57,-,30.94,6.33,24.58,2.57,0.25,2.31,-,-,27.27,-,-,-,-
1091,高雄市,2001/05,橋頭,2.0,0.54,-,26.5,43,-,23.3,5.62,17.68,2.282,0.12,2.16,-,-,26.92,-,-,-,-
1092,高雄市,2001/05,美濃,0.8,0.46,-,31.9,60,-,10.52,1.02,9.49,-,-,-,-,-,26.61,-,-,-,-
1093,高雄市,2001/04,左營,7.5,0.87,-,35.1,88,-,27.59,4.16,23.39,2.529,0.32,2.21,-,-,25.15,-,-,-,-
1094,高雄市,2001/04,楠梓,5.0,0.68,-,26.7,91,-,33.15,6.21,26.92,2.584,0.28,2.31,-,-,24.79,-,-,-,-
1095,高雄市,2001/04,前金,7.3,0.82,-,26.9,66,-,28.27,3.97,24.3,-,-,-,-,-,25.04,-,-,-,-
1096,高雄市,2001/04,前鎮,12.3,-,-,-,89,-,40.34,8.07,32.26,2.507,0.45,2.06,-,-,25.69,-,-,-,-
1097,高雄市,2001/04,復興,12.1,1.25,-,-,108,-,56.68,15.75,40.93,2.74,0.63,2.11,-,-,25.99,-,-,-,-
1098,高雄市,2001/04,小港,17.6,0.93,-,26.6,89,-,54.61,14.69,39.88,2.615,0.44,2.17,-,-,25.89,-,-,-,-
1099,高雄市,2001/04,鳳山,14.6,1.09,-,30.3,105,51,44.0,15.21,28.79,-,-,-,-,-,26.23,-,-,-,-
1100,高雄市,2001/04,林園,12.9,0.63,-,23.6,89,39,26.59,4.91,21.71,2.618,0.42,2.2,-,-,25.72,-,-,-,-
1101,高雄市,2001/04,大寮,11.5,0.78,-,29.5,105,-,27.39,4.26,23.28,2.546,0.27,2.27,-,-,25.64,-,-,-,-
1102,高雄市,2001/04,仁武,12.0,0.71,-,29.6,94,-,46.9,13.03,33.87,2.73,0.35,2.38,-,-,25.2,-,-,-,-
1103,高雄市,2001/04,橋頭,5.7,0.66,-,24.8,75,-,33.96,6.82,27.09,2.495,0.16,2.34,-,-,24.74,-,-,-,-
1104,高雄市,2001/04,美濃,1.9,0.56,-,27.4,86,-,14.91,1.13,13.78,-,-,-,-,-,24.89,-,-,-,-
1105,高雄市,2001/03,左營,7.0,0.83,-,38.6,90,-,30.46,6.18,24.36,2.384,0.3,2.08,-,-,22.92,-,-,-,-
1106,高雄市,2001/03,楠梓,5.2,0.63,-,31.3,86,-,38.65,8.91,29.74,2.549,0.25,2.29,-,-,23.22,-,-,-,-
1107,高雄市,2001/03,前金,7.6,0.79,-,32.9,66,-,33.89,5.55,28.58,-,-,-,-,-,22.74,-,-,-,-
1108,高雄市,2001/03,前鎮,10.7,-,-,-,91,-,43.77,9.07,34.7,2.462,0.4,2.07,-,-,23.43,-,-,-,-
1109,高雄市,2001/03,復興,9.5,1.2,-,-,110,-,57.51,16.59,40.92,2.659,0.6,2.06,-,-,23.57,-,-,-,-
1110,高雄市,2001/03,小港,13.7,0.86,-,32.8,100,-,53.19,14.44,38.75,2.504,0.4,2.11,-,-,23.5,-,-,-,-
1111,高雄市,2001/03,鳳山,9.6,0.88,-,28.4,107,51,42.59,14.66,27.93,-,-,-,-,-,23.93,-,-,-,-
1112,高雄市,2001/03,林園,12.2,0.64,-,25.3,93,41,27.54,5.64,21.91,2.725,0.45,2.27,-,-,23.44,-,-,-,-
1113,高雄市,2001/03,大寮,13.7,0.81,-,33.5,114,-,32.06,5.32,26.73,2.571,0.3,2.27,-,-,23.32,-,-,-,-
1114,高雄市,2001/03,仁武,9.9,0.7,-,36.2,100,-,45.35,11.08,34.27,2.693,0.34,2.35,-,-,22.62,-,-,-,-
1115,高雄市,2001/03,橋頭,4.9,0.63,-,28.7,70,-,33.42,6.34,27.08,2.416,0.15,2.27,-,-,22.32,-,-,-,-
1116,高雄市,2001/03,美濃,2.1,0.54,-,33.7,95,-,16.02,1.04,14.98,-,-,-,-,-,22.63,-,-,-,-
1117,高雄市,2001/02,左營,6.5,0.86,-,33.6,109,-,34.77,8.19,26.59,2.405,0.32,2.09,-,-,20.28,-,-,-,-
1118,高雄市,2001/02,楠梓,4.5,0.66,-,27.8,97,-,41.4,10.59,30.81,2.425,0.24,2.19,-,-,20.31,-,-,-,-
1119,高雄市,2001/02,前金,8.5,0.95,-,29.5,128,-,41.49,10.1,31.39,-,-,-,-,-,20.15,-,-,-,-
1120,高雄市,2001/02,前鎮,11.1,-,-,-,106,-,59.42,17.7,41.71,2.645,0.5,2.14,-,-,21.02,-,-,-,-
1121,高雄市,2001/02,復興,10.8,1.39,-,-,137,-,74.17,27.1,47.07,2.871,0.79,2.08,-,-,20.94,-,-,-,-
1122,高雄市,2001/02,小港,19.6,1.02,-,27.5,128,-,72.47,25.23,47.23,2.725,0.56,2.17,-,-,21.36,-,-,-,-
1123,高雄市,2001/02,鳳山,14.3,0.96,-,22.9,134,60,60.93,23.91,37.02,-,-,-,-,-,21.47,-,-,-,-
1124,高雄市,2001/02,林園,13.1,0.76,-,16.9,126,53,44.24,11.87,32.37,2.964,0.59,2.38,-,-,21.41,-,-,-,-
1125,高雄市,2001/02,大寮,14.0,0.85,-,29.3,141,-,40.25,6.82,33.43,2.722,0.39,2.33,-,-,21.08,-,-,-,-
1126,高雄市,2001/02,仁武,14.0,0.72,-,26.6,120,-,52.18,16.02,36.16,2.829,0.46,2.36,-,-,20.43,-,-,-,-
1127,高雄市,2001/02,橋頭,4.3,0.68,-,23.3,91,-,41.57,11.27,30.31,2.488,0.18,2.31,-,-,19.92,-,-,-,-
1128,高雄市,2001/02,美濃,2.1,0.6,-,32.7,120,-,18.38,1.3,17.08,-,-,-,-,-,20.56,-,-,-,-
1129,高雄市,2001/01,左營,7.7,0.93,-,31.5,98,-,36.96,8.94,28.11,2.529,0.35,2.18,-,-,19.63,-,-,-,-
1130,高雄市,2001/01,楠梓,5.7,0.71,-,30.3,85,-,42.52,11.57,30.96,2.557,0.25,2.3,-,-,19.41,-,-,-,-
1131,高雄市,2001/01,前金,8.7,1.07,-,28.0,132,-,44.07,8.18,35.89,-,-,-,-,-,19.35,-,-,-,-
1132,高雄市,2001/01,前鎮,13.0,-,-,-,98,-,64.06,19.39,44.67,2.61,0.56,2.05,-,-,20.3,-,-,-,-
1133,高雄市,2001/01,復興,12.0,1.51,-,-,123,-,80.5,31.93,48.57,3.082,0.89,2.19,-,-,20.11,-,-,-,-
1134,高雄市,2001/01,小港,21.7,1.11,-,28.0,109,-,75.79,28.88,46.91,2.744,0.58,2.17,-,-,20.49,-,-,-,-
1135,高雄市,2001/01,鳳山,15.5,1.08,-,17.4,121,45,60.16,26.84,33.32,-,-,-,-,-,20.6,-,-,-,-
1136,高雄市,2001/01,林園,15.3,0.83,-,21.6,102,50,43.3,12.55,30.71,3.023,0.65,2.38,-,-,20.66,-,-,-,-
1137,高雄市,2001/01,大寮,13.9,0.84,-,25.6,119,-,38.37,8.68,29.69,2.706,0.37,2.34,-,-,20.18,-,-,-,-
1138,高雄市,2001/01,仁武,14.5,0.8,-,24.3,99,-,49.95,15.65,34.3,2.999,0.53,2.47,-,-,19.74,-,-,-,-
1139,高雄市,2001/01,橋頭,4.9,0.71,-,21.3,80,-,40.57,10.35,30.22,2.545,0.19,2.35,-,-,19.11,-,-,-,-
1140,高雄市,2001/01,美濃,2.0,0.67,-,32.3,91,-,18.59,1.89,16.71,-,-,-,-,-,19.47,-,-,-,-
1141,高雄市,2000/12,左營,6.4,0.83,-,24.5,103,-,40.0,11.95,28.06,2.502,0.31,2.19,-,-,21.23,-,-,-,-
1142,高雄市,2000/12,楠梓,4.0,0.65,-,21.9,94,-,42.18,11.92,30.26,2.53,0.27,2.27,-,-,21.26,-,-,-,-
1143,高雄市,2000/12,前金,7.2,0.94,-,25.2,130,-,41.81,9.9,31.9,-,-,-,-,-,21.08,-,-,-,-
1144,高雄市,2000/12,前鎮,10.7,-,-,-,112,-,63.17,21.83,41.34,2.636,0.51,2.12,-,-,21.95,-,-,-,-
1145,高雄市,2000/12,復興,9.7,1.58,-,-,148,-,81.03,35.36,45.67,3.18,0.92,2.26,-,-,21.77,-,-,-,-
1146,高雄市,2000/12,小港,19.1,1.11,-,21.4,129,-,81.46,34.23,47.23,2.815,0.64,2.17,-,-,22.16,-,-,-,-
1147,高雄市,2000/12,鳳山,15.6,1.01,-,14.7,136,46,68.02,34.11,33.91,-,-,-,-,-,22.05,-,-,-,-
1148,高雄市,2000/12,林園,15.4,0.8,-,23.6,124,50,47.37,14.51,32.84,3.017,0.63,2.39,-,-,22.1,-,-,-,-
1149,高雄市,2000/12,大寮,11.8,0.85,-,26.3,138,-,42.62,9.87,32.75,2.82,0.41,2.41,-,-,21.88,-,-,-,-
1150,高雄市,2000/12,仁武,14.5,0.73,-,20.8,111,-,57.3,21.25,36.05,2.925,0.5,2.43,-,-,21.65,-,-,-,-
1151,高雄市,2000/12,橋頭,5.0,0.69,-,18.7,88,-,43.26,12.66,30.62,2.483,0.18,2.3,-,-,20.84,-,-,-,-
1152,高雄市,2000/12,美濃,1.5,0.64,-,29.8,111,-,-,-,-,-,-,-,-,-,21.42,-,-,-,-
1153,高雄市,2000/11,左營,6.7,0.86,-,31.7,116,-,35.45,8.82,26.63,2.569,0.37,2.2,-,-,23.8,-,-,-,-
1154,高雄市,2000/11,楠梓,4.2,0.72,-,27.9,98,-,39.15,9.92,29.23,2.77,0.29,2.48,-,-,23.82,-,-,-,-
1155,高雄市,2000/11,前金,6.9,0.94,-,37.3,95,-,37.19,7.99,29.2,-,-,-,-,-,23.65,-,-,-,-
1156,高雄市,2000/11,前鎮,11.5,-,-,-,111,-,55.57,15.96,39.6,2.603,0.52,2.08,-,-,24.01,-,-,-,-
1157,高雄市,2000/11,復興,10.6,1.44,-,-,154,-,72.93,24.72,48.2,3.08,0.87,2.21,-,-,24.35,-,-,-,-
1158,高雄市,2000/11,小港,16.7,1.11,-,28.0,120,-,69.83,24.25,45.58,2.834,0.65,2.18,-,-,24.65,-,-,-,-
1159,高雄市,2000/11,鳳山,15.6,1.13,-,19.9,131,51,58.83,25.29,33.54,-,-,-,-,-,24.58,-,-,-,-
1160,高雄市,2000/11,林園,14.5,0.82,-,30.9,131,55,38.41,9.54,28.87,2.861,0.53,2.33,-,-,24.44,-,-,-,-
1161,高雄市,2000/11,大寮,12.1,1.0,-,32.4,153,-,39.82,7.61,32.21,2.898,0.45,2.45,-,-,24.27,-,-,-,-
1162,高雄市,2000/11,仁武,12.2,0.77,-,29.6,122,-,50.23,15.72,34.52,2.939,0.48,2.46,-,-,24.4,-,-,-,-
1163,高雄市,2000/11,橋頭,5.1,0.7,-,24.8,114,-,39.72,10.29,29.43,2.594,0.23,2.36,-,-,23.63,-,-,-,-
1164,高雄市,2000/11,美濃,1.5,0.57,-,34.9,112,-,17.2,1.41,15.79,-,-,-,-,-,24.23,-,-,-,-
1165,高雄市,2000/10,左營,3.8,0.81,-,39.8,79,-,24.82,5.26,19.56,2.411,0.27,2.14,-,-,27.04,-,-,-,-
1166,高雄市,2000/10,楠梓,3.5,0.59,-,33.0,77,-,29.28,6.2,23.08,2.616,0.21,2.41,-,-,27.07,-,-,-,-
1167,高雄市,2000/10,前金,6.4,0.79,-,34.6,62,-,29.14,5.92,23.29,-,-,-,-,-,27.08,-,-,-,-
1168,高雄市,2000/10,前鎮,9.9,-,-,-,85,-,37.55,8.67,29.05,2.324,0.35,1.98,-,-,27.07,-,-,-,-
1169,高雄市,2000/10,復興,10.0,1.18,-,-,102,-,55.01,16.3,38.71,2.747,0.68,2.07,-,-,27.67,-,-,-,-
1170,高雄市,2000/10,小港,12.4,0.79,-,34.6,91,-,44.51,11.67,32.84,2.48,0.39,2.09,-,-,27.64,-,-,-,-
1171,高雄市,2000/10,鳳山,9.6,1.08,-,29.3,90,42,37.09,12.13,24.95,-,-,-,-,-,27.85,-,-,-,-
1172,高雄市,2000/10,林園,8.9,0.61,-,38.6,82,41,21.38,4.66,16.72,2.561,0.33,2.24,-,-,27.6,-,-,-,-
1173,高雄市,2000/10,大寮,9.4,0.83,-,35.5,98,-,27.88,4.05,23.83,2.696,0.27,2.42,-,-,27.41,-,-,-,-
1174,高雄市,2000/10,仁武,10.7,0.6,-,37.0,84,-,36.04,9.56,26.44,2.665,0.3,2.36,-,-,27.7,-,-,-,-
1175,高雄市,2000/10,橋頭,4.9,0.56,-,30.2,65,-,30.12,6.53,23.6,2.401,0.14,2.26,-,-,27.27,-,-,-,-
1176,高雄市,2000/10,美濃,1.2,0.48,-,33.7,71,-,12.47,0.79,11.66,-,-,-,-,-,27.16,-,-,-,-
1177,高雄市,2000/09,左營,0.3,0.76,-,42.3,56,-,18.31,3.74,14.58,2.233,0.24,1.99,-,-,27.79,-,-,-,-
1178,高雄市,2000/09,楠梓,4.0,0.5,-,35.1,65,-,23.99,5.46,18.53,2.564,0.22,2.34,-,-,27.68,-,-,-,-
1179,高雄市,2000/09,前金,5.4,0.67,-,40.2,54,-,20.24,3.31,16.93,-,-,-,-,-,28.15,-,-,-,-
1180,高雄市,2000/09,前鎮,8.2,-,-,-,59,-,25.74,4.04,21.72,2.079,0.23,1.84,-,-,27.61,-,-,-,-
1181,高雄市,2000/09,復興,7.8,1.0,-,-,73,-,39.32,8.52,30.8,2.449,0.47,1.98,-,-,28.0,-,-,-,-
1182,高雄市,2000/09,小港,9.6,0.73,-,35.4,73,-,30.7,6.57,24.13,2.227,0.25,1.98,-,-,27.9,-,-,-,-
1183,高雄市,2000/09,鳳山,5.6,0.95,-,29.7,69,34,23.35,4.99,18.36,-,-,-,-,-,28.17,-,-,-,-
1184,高雄市,2000/09,林園,6.9,0.52,-,37.0,59,35,13.52,1.78,11.75,2.262,0.23,2.03,-,-,27.81,-,-,-,-
1185,高雄市,2000/09,大寮,7.9,0.73,-,36.1,71,-,17.64,1.49,16.13,2.476,0.18,2.3,-,-,27.52,-,-,-,-
1186,高雄市,2000/09,仁武,8.8,0.53,-,39.3,72,-,26.78,4.68,22.1,2.568,0.22,2.35,-,-,28.05,-,-,-,-
1187,高雄市,2000/09,橋頭,6.0,0.46,-,35.1,50,-,22.34,4.46,17.88,2.242,0.09,2.15,-,-,27.8,-,-,-,-
1188,高雄市,2000/09,美濃,1.2,0.39,-,38.1,54,-,9.14,0.55,8.59,-,-,-,-,-,27.26,-,-,-,-
1189,高雄市,2000/08,左營,0.7,0.72,-,17.1,31,-,26.86,12.02,14.79,2.238,0.29,1.94,-,-,27.68,-,-,-,-
1190,高雄市,2000/08,楠梓,3.9,0.44,-,15.9,42,-,25.17,9.33,15.83,2.423,0.27,2.19,-,-,27.85,-,-,-,-
1191,高雄市,2000/08,前金,6.5,0.76,-,22.1,33,-,27.69,12.02,15.67,-,-,-,-,-,28.24,-,-,-,-
1192,高雄市,2000/08,前鎮,11.3,-,-,-,45,-,31.03,12.86,18.17,2.174,0.41,1.76,-,-,27.22,-,-,-,-
1193,高雄市,2000/08,復興,7.9,0.97,-,-,40,-,36.35,16.05,20.3,2.43,0.55,1.89,-,-,27.64,-,-,-,-
1194,高雄市,2000/08,小港,13.8,0.77,-,11.9,47,-,32.51,13.68,18.83,2.135,0.26,1.87,-,-,28.08,-,-,-,-
1195,高雄市,2000/08,鳳山,4.0,0.91,-,13.5,35,21,21.65,8.47,13.18,-,-,-,-,-,28.07,-,-,-,-
1196,高雄市,2000/08,林園,4.7,0.41,-,19.0,33,22,10.65,2.24,8.55,2.04,0.17,1.88,-,-,27.59,-,-,-,-
1197,高雄市,2000/08,大寮,5.4,0.65,-,16.5,36,-,12.8,2.67,10.15,2.3,0.13,2.17,-,-,27.36,-,-,-,-
1198,高雄市,2000/08,仁武,5.3,0.42,-,19.3,34,-,22.13,7.96,14.15,2.411,0.16,2.27,-,-,27.98,-,-,-,-
1199,高雄市,2000/08,橋頭,4.4,0.38,-,15.6,29,-,19.29,5.95,13.35,2.191,0.11,2.08,-,-,27.59,-,-,-,-
1200,高雄市,2000/08,美濃,0.5,0.26,-,20.1,26,-,6.52,0.88,5.64,-,-,-,-,-,26.98,-,-,-,-
1201,高雄市,2000/07,左營,5.5,0.78,-,24.4,42,-,25.91,9.08,16.82,2.223,0.28,1.94,-,-,28.13,-,-,-,-
1202,高雄市,2000/07,楠梓,2.7,0.45,-,20.6,54,-,23.5,7.37,16.13,2.247,0.23,2.02,-,-,28.0,-,-,-,-
1203,高雄市,2000/07,前金,6.2,0.78,-,29.7,42,-,26.95,9.21,17.7,-,-,-,-,-,28.98,-,-,-,-
1204,高雄市,2000/07,前鎮,10.2,-,-,-,53,-,32.1,11.09,21.01,2.196,0.49,1.71,-,-,27.66,-,-,-,-
1205,高雄市,2000/07,復興,6.4,1.04,-,-,52,-,35.93,13.77,22.16,2.467,0.57,1.89,-,-,28.11,-,-,-,-
1206,高雄市,2000/07,小港,14.0,0.84,-,17.7,59,-,32.85,12.8,20.05,2.178,0.26,1.92,-,-,28.65,-,-,-,-
1207,高雄市,2000/07,鳳山,6.1,0.82,-,21.3,48,31,22.74,5.6,17.14,-,-,-,-,-,28.45,-,-,-,-
1208,高雄市,2000/07,林園,3.6,0.4,-,25.4,44,38,9.27,1.31,7.96,1.996,0.15,1.84,-,-,28.23,-,-,-,-
1209,高雄市,2000/07,大寮,5.3,0.61,-,20.9,54,-,13.62,1.82,11.79,2.244,0.14,2.1,-,-,27.79,-,-,-,-
1210,高雄市,2000/07,仁武,5.2,0.47,-,25.5,43,-,23.86,7.39,16.47,2.432,0.17,2.26,-,-,28.34,-,-,-,-
1211,高雄市,2000/07,橋頭,5.6,0.41,-,19.5,40,-,20.04,4.67,15.38,2.249,0.11,2.16,-,-,27.92,-,-,-,-
1212,高雄市,2000/07,美濃,0.5,0.37,-,23.0,37,-,7.72,0.95,6.77,-,-,-,-,-,27.4,-,-,-,-
1213,高雄市,2000/06,左營,4.6,0.57,-,18.3,27,-,19.36,7.67,11.69,2.064,0.21,1.85,-,-,28.83,-,-,-,-
1214,高雄市,2000/06,楠梓,5.0,0.39,-,15.8,43,-,22.19,8.39,13.8,2.172,0.21,1.96,-,-,28.92,-,-,-,-
1215,高雄市,2000/06,前金,5.3,0.53,-,19.0,22,-,21.89,8.75,13.13,-,-,-,-,-,29.37,-,-,-,-
1216,高雄市,2000/06,前鎮,12.0,-,-,-,39,-,27.69,11.14,16.55,2.115,0.4,1.71,-,-,28.24,-,-,-,-
1217,高雄市,2000/06,復興,2.2,0.67,-,-,35,-,31.6,15.79,15.81,2.473,0.48,2.0,-,-,28.58,-,-,-,-
1218,高雄市,2000/06,小港,14.3,0.67,-,8.2,-,-,-,-,-,2.194,0.28,1.91,-,-,28.91,-,-,-,-
1219,高雄市,2000/06,鳳山,6.3,0.74,-,11.5,33,22,24.22,8.9,15.33,-,-,-,-,-,29.35,-,-,-,-
1220,高雄市,2000/06,林園,2.8,0.35,-,15.9,33,24,8.73,2.01,6.78,1.958,0.14,1.82,-,-,28.98,-,-,-,-
1221,高雄市,2000/06,大寮,5.7,0.58,-,12.9,36,-,15.19,3.65,11.59,2.239,0.13,2.11,-,-,28.56,-,-,-,-
1222,高雄市,2000/06,仁武,4.5,0.38,-,16.1,28,-,22.15,9.03,13.12,2.249,0.14,2.11,-,-,29.11,-,-,-,-
1223,高雄市,2000/06,橋頭,5.0,0.34,-,12.3,26,-,18.2,6.68,11.52,2.282,0.18,2.1,-,-,28.79,-,-,-,-
1224,高雄市,2000/06,美濃,1.2,0.33,-,20.6,28,-,9.02,1.37,7.65,-,-,-,-,-,28.39,-,-,-,-
1225,高雄市,2000/05,左營,5.4,0.58,-,41.6,58,-,19.32,3.13,16.19,2.185,0.21,1.97,-,-,27.04,-,-,-,-
1226,高雄市,2000/05,楠梓,3.6,0.48,-,34.9,77,-,23.4,4.48,18.95,2.356,0.2,2.15,-,-,27.28,-,-,-,-
1227,高雄市,2000/05,前金,5.4,0.57,-,36.5,54,-,21.03,3.1,17.94,-,-,-,-,-,27.84,-,-,-,-
1228,高雄市,2000/05,前鎮,10.5,-,-,-,73,-,29.4,5.09,24.34,2.158,0.3,1.86,-,-,26.78,-,-,-,-
1229,高雄市,2000/05,復興,6.0,0.92,-,-,88,-,44.19,14.03,30.17,2.462,0.45,2.01,-,-,27.23,-,-,-,-
1230,高雄市,2000/05,小港,9.9,0.65,-,35.2,92,-,33.76,4.93,28.83,2.259,0.27,1.99,-,-,27.38,-,-,-,-
1231,高雄市,2000/05,鳳山,7.4,0.81,-,29.4,82,40,27.82,4.01,23.81,-,-,-,-,-,27.73,-,-,-,-
1232,高雄市,2000/05,林園,6.2,0.47,-,37.6,65,43,12.77,1.55,11.23,2.109,0.2,1.91,-,-,27.31,-,-,-,-
1233,高雄市,2000/05,大寮,8.5,0.69,-,33.5,84,-,18.48,1.53,17.04,2.418,0.17,2.25,-,-,27.19,-,-,-,-
1234,高雄市,2000/05,仁武,7.0,0.51,-,33.2,74,-,33.78,11.45,22.34,2.386,0.2,2.19,-,-,27.42,-,-,-,-
1235,高雄市,2000/05,橋頭,4.7,0.48,-,30.9,58,-,22.2,3.4,18.81,2.552,0.7,1.85,-,-,27.15,-,-,-,-
1236,高雄市,2000/05,美濃,1.5,0.45,-,33.2,65,-,11.92,1.03,10.89,-,-,-,-,-,26.72,-,-,-,-
1237,高雄市,2000/04,左營,5.5,0.65,-,32.4,75,-,26.54,5.09,21.44,2.394,0.3,2.1,-,-,25.11,-,-,-,-
1238,高雄市,2000/04,楠梓,4.0,0.56,-,33.0,80,-,30.66,7.42,23.24,2.432,0.23,2.2,-,-,25.43,-,-,-,-
1239,高雄市,2000/04,前金,6.5,0.71,-,26.4,64,-,28.32,5.64,22.68,-,-,-,-,-,26.33,-,-,-,-
1240,高雄市,2000/04,前鎮,11.5,-,-,-,78,-,37.95,9.3,28.63,2.336,0.35,1.99,-,-,25.13,-,-,-,-
1241,高雄市,2000/04,復興,10.5,1.02,-,-,91,-,50.31,15.15,35.16,2.424,0.53,1.89,-,-,25.62,-,-,-,-
1242,高雄市,2000/04,小港,14.9,0.79,-,22.7,85,-,45.53,12.74,32.79,2.421,0.37,2.05,-,-,26.19,-,-,-,-
1243,高雄市,2000/04,鳳山,11.3,0.89,-,26.8,87,41,40.3,10.19,30.11,-,-,-,-,-,26.01,-,-,-,-
1244,高雄市,2000/04,林園,12.4,0.61,-,29.1,74,50,22.56,4.96,17.73,2.264,0.3,1.97,-,-,25.8,-,-,-,-
1245,高雄市,2000/04,大寮,11.0,0.68,-,27.0,91,-,28.12,4.67,23.47,2.574,0.3,2.28,-,-,25.6,-,-,-,-
1246,高雄市,2000/04,仁武,11.0,0.61,-,25.4,82,-,54.19,26.19,28.0,2.586,0.32,2.26,-,-,25.55,-,-,-,-
1247,高雄市,2000/04,橋頭,4.6,0.56,-,18.7,67,-,28.56,6.34,22.22,2.544,0.63,1.91,-,-,24.6,-,-,-,-
1248,高雄市,2000/04,美濃,2.0,0.54,-,24.7,62,-,14.79,1.3,13.49,-,-,-,-,-,25.49,-,-,-,-
1249,高雄市,2000/03,左營,7.4,0.77,-,34.4,132,-,35.72,7.38,28.34,2.592,0.32,2.27,-,-,21.45,-,-,-,-
1250,高雄市,2000/03,楠梓,5.2,0.62,-,30.6,124,-,37.71,8.16,29.55,2.537,0.28,2.25,-,-,21.86,-,-,-,-
1251,高雄市,2000/03,前金,7.5,0.84,-,27.4,119,-,37.44,8.52,28.92,-,-,-,-,-,22.91,-,-,-,-
1252,高雄市,2000/03,前鎮,12.4,-,-,-,133,-,59.66,18.54,41.12,2.679,0.52,2.15,-,-,21.88,-,-,-,-
1253,高雄市,2000/03,復興,11.7,1.39,-,-,162,-,68.91,22.57,46.34,2.817,0.8,2.02,-,-,22.42,-,-,-,-
1254,高雄市,2000/03,小港,17.8,1.0,-,24.8,141,-,68.13,23.2,44.93,2.765,0.61,2.16,-,-,23.1,-,-,-,-
