SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity,Danger
5.1,0.37,20.7,12,17,3.91,13.16,1.988,0.162,1.827,1.23,30.52,68.5,0
3.7,0.23,16.1,7,12,3.13,8.49,1.894,0.097,1.797,2.27,29.71,76.33,0
8.4,0.21,11.7,10,18,5.66,12.33,1.994,0.185,1.81,2.12,29.8,78.43,0
2.8,0.24,14.4,9,15,5.18,9.53,1.89,0.14,1.75,2.06,29.57,73.43,0
3.3,0.22,19,7,11,2.82,8.47,1.948,0.089,1.859,2.15,29.45,75.36,0
2.9,0.23,15,9,14,3.05,10.84,1.946,0.115,1.831,2.33,29.75,75.85,0
4.4,0.34,13.4,8,17,5.25,11.36,1.962,0.157,1.805,1.15,30.07,77.57,0
1.3,0.15,18.9,13,5,1.2,3.87,0,0,0,1.36,28.49,76.65,0
2.7,0.18,15,11,11,3.06,7.75,0,0,0,2.83,28.69,72.32,0
3.7,0.2,14.2,8,12,3.49,8.84,2.131,0.152,1.98,2.06,29.04,80.05,0
3.5,0.34,14.1,9,14,3.86,10.57,2.021,0.154,1.866,1.96,30.15,73.54,0
4.1,0.26,12.1,7,15,3.83,11.19,1.922,0.109,1.813,1.69,29.48,74.62,0
2.3,0.1,16.7,9,6,1.8,4.68,1.909,0.035,1.876,2.37,29.65,76.84,0
3.8,0.2,40.1,18,10,1.44,8.05,1.995,0.056,1.939,2.21,28.41,74.17,0
4.3,0.3,31.2,18,15,2.01,12.75,2.216,0.144,2.072,1.77,27.83,76.94,0
5.3,0.38,32.8,23,18,2.36,15.37,2.046,0.131,1.915,1.54,28.06,71.45,0
4.5,0.34,39.8,21,13,1.65,11.38,2.024,0.113,1.911,2.12,28.04,72.97,0
5.6,0.51,34.3,20,20,3.22,17.07,2.122,0.2,1.922,1.02,28.68,73.61,0
3.6,0.34,36.2,25,15,2.73,12.26,2.025,0.142,1.883,1.96,28.06,70.85,0
8.7,0.34,32.7,18,21,3.4,17.81,2.09,0.175,1.914,1.95,28.26,75.19,0
1.8,0.27,34.8,23,8,1.18,6.35,0,0,0,1.16,27.63,67.89,0
3.9,0.36,39.7,23,16,1.82,14.25,2.057,0.112,1.945,2.19,27.93,74.42,0
3.5,0.33,29.4,24,14,2.11,11.53,0,0,0,2.29,27.18,69.25,0
4.4,0.34,39.1,21,15,1.82,13.06,2.061,0.117,1.944,1.81,27.85,73.26,0
4.5,0.46,30.4,22,18,2.73,15.23,2.143,0.176,1.967,1.66,28.7,70.67,0
1.7,0.31,35.3,24,9,1.5,7.64,0,0,0,1.23,24.82,72.08,0
4.5,0.53,30.2,26,21,3.24,17.61,2.165,0.191,1.974,1.64,25.96,68.23,0
3.7,0.28,37.7,21,12,1.83,10.49,2.064,0.08,1.984,2.3,25.71,72.33,0
4.6,0.36,31.4,23,18,2.96,15.19,2.254,0.163,2.09,1.9,24.86,74.65,0
4.2,0.4,36.3,23,19,2.99,15.76,2.087,0.143,1.945,1.9,25.08,70.11,0
2.9,0.37,31.5,29,15,2.34,13.05,0,0,0,2.36,24.06,68.61,0
3.5,0.39,40.1,28,16,1.29,15.03,2.099,0.128,1.971,2.11,25.43,70.51,0
3.2,0.4,35.4,29,18,3.45,14.26,2.056,0.158,1.898,2.02,25.3,68.05,0
4.1,0.4,39.7,24,15,1.85,13.63,2.023,0.126,1.897,2.13,25.34,70.16,0
4.9,0.44,34.4,26,20,2.71,17.36,2.077,0.137,1.939,1.62,25.39,68.72,0
5.3,0.56,34.3,24,23,3.98,19.34,2.151,0.211,1.94,1.14,25.86,71.05,0
7.9,0.39,31.1,23,24,3.95,20.03,2.062,0.154,1.909,1.92,25.5,72.65,0
5,0.73,35.3,38,29,4.16,24.49,2.294,0.276,2.018,1.24,23.98,69.72,1
3.7,0.49,31.9,46,21,2.89,18.2,0,0,0,2.48,21.52,67.98,1
4.5,0.51,36,40,25,3.52,21.49,2.164,0.201,1.963,2.12,22.48,69.95,1
5,0.6,34.8,43,26,3.14,22.86,2.228,0.193,2.035,1.76,23.07,67.59,1
4.2,0.52,41.1,40,20,2.01,18.01,2.228,0.176,2.052,2.42,22.91,70.4,1
5,0.48,32.8,33,23,2.98,20.01,2.32,0.2,2.12,2.02,22.63,72.55,0
4.2,0.53,40.7,37,20,2.1,18.15,2.135,0.169,1.966,2.4,22.81,69.3,1
7,0.54,33.8,41,31,4.33,26.9,2.184,0.212,1.972,2,23.27,70.68,1
4.8,0.41,39.1,29,18,2.17,16.13,2.157,0.12,2.037,2.5,23.69,70.93,0
3.6,0.49,36.2,43,23,3.51,19.07,2.127,0.2,1.927,2.19,22.54,67.89,1
2.2,0.42,41,36,12,1.53,10.93,0,0,0,1.3,22.8,70.5,1
4.7,0.64,29.7,37,26,3.48,22.29,2.286,0.241,2.045,1.65,23.48,67.47,1
3.6,0.48,26.8,46,23,3.56,19.32,0,0,0,2.42,18.85,67.9,1
4.1,0.52,27.9,43,29,4.88,24.29,2.234,0.222,2.012,2.19,19.85,68.67,1
4.8,0.51,27.7,35,26,3.6,22.49,2.293,0.209,2.085,2.03,20.33,70.16,0
6.2,0.43,34.1,0,24,3.01,20.62,2.215,0.161,2.054,2.43,21.43,69.79,0
4.4,0.64,23.8,40,29,4.31,24.38,2.308,0.268,2.04,1.58,20.94,66.14,1
1.9,0.41,33.9,35,12,2.06,10.14,0,0,0,1.18,20.23,70.32,0
6.3,0.6,27.2,44,35,6.04,28.46,2.217,0.237,1.98,1.95,21.16,68.54,1
4.6,0.8,26.6,42,33,6.07,26.96,2.339,0.32,2.019,1.22,20.93,68.28,1
4.6,0.65,26.6,42,30,4.24,25.29,2.268,0.221,2.047,1.82,20.61,65.66,1
3.8,0.56,31.4,40,23,2.84,20.47,2.167,0.193,1.974,2.47,20.22,68.24,1
3.2,0.48,28.3,47,23,4.01,19.28,2.096,0.169,1.927,2.24,19.75,67.28,1
3.8,0.53,31.6,43,24,2.59,21.31,2.235,0.18,2.055,2.37,21.52,69.51,1
3.8,0.58,32.3,42,24,2.87,20.81,2.175,0.186,1.989,2.42,20.83,71.84,1
6.2,0.63,26,48,38,6.86,31.09,2.247,0.262,1.986,1.81,21.56,71.4,1
