SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
3.9,0.66,22.4,42,31.43,5.74,25.69,2.231,0.227,2.01,1.68,20.11,73.01
4.2,0.65,18.6,39,33.04,5.92,27.12,2.369,0.301,2.07,1.54,20.39,70.45
3.3,0.52,24.8,36,28.74,6.09,22.65,2.267,0.234,2.03,1.92,19.24,76.08
2.6,0.56,26.7,41,24.35,3.77,20.58,2.158,0.183,1.98,2.4,19.3,75.53
4.2,0.49,27.7,37,27.02,4.86,22.16,2.274,0.239,2.04,2.13,20.2,73.4
4.8,0.6,22.3,40,30.2,3.99,26.21,2.355,0.27,2.09,1.63,21.26,67.73
5.4,0.58,25,40,35.22,4.96,30.26,2.193,0.238,1.96,1.83,21.65,68.29
2.8,0.54,28.5,40,24.07,3,21.07,2.154,0.182,1.97,2.59,20.19,72.55
3,0.46,27.1,43,22.45,3.75,18.7,2.187,0.166,2.02,2.31,19.53,73.41
3.9,0.63,25.6,45,29.78,4.61,25.17,2.229,0.221,2.01,1.7,21.19,69.46
4.7,0.5,25,38,26.9,3.64,23.25,2.353,0.209,2.14,1.93,20.99,71.66
3.4,0.51,29.6,41,23.91,2.23,21.67,2.184,0.171,2.01,2.48,19.71,73.63
4.1,0.79,23.7,40,34.16,6.56,27.61,2.321,0.313,2.01,1.04,20.89,70.12
6.9,0.58,29.9,33,26.22,2.98,23.24,2.239,0.141,2.1,2.36,21.34,71.82
2.8,0.45,29.2,40,19.77,2.84,16.95,2.175,0.176,2,1.98,24.07,79.24
4.7,0.63,26.4,43,29.61,3.35,26.25,2.386,0.29,2.1,1.53,25.14,74.08
3.5,0.53,30.6,40,21.58,2.23,19.36,2.221,0.199,2.02,2.29,24.89,76.62
4.2,0.64,28.4,44,29.34,4.06,25.27,2.278,0.24,2.04,1.52,25.46,73.65
6.5,0.46,37.3,32,21.28,1.98,19.3,2.249,0.148,2.1,2.12,25.32,76.68
6.4,0.57,27.8,40,34.44,4.41,30.03,2.228,0.265,1.96,1.72,26.11,73.11
4.1,0.49,29.7,39,26.1,4.5,21.6,2.306,0.251,2.06,1.74,24.55,78.44
5.2,0.5,27.9,36,25.91,4.02,21.89,2.393,0.229,2.17,1.47,25.3,76.16
3.2,0.49,32.4,40,23.05,1.9,21.16,2.193,0.174,2.02,2.21,24.04,80.53
4.4,0.8,27.2,39,33.28,5.91,27.38,2.339,0.327,2.01,0.93,25.18,74.28
5.6,0.35,43,27,12.65,0.91,11.73,2.196,0.093,2.1,2.2,27.85,75.13
5.2,0.38,33.6,29,18.9,3.17,15.73,2.369,0.188,2.18,1.64,27.68,75.02
4.1,0.39,39.1,28,18.52,2.88,15.63,2.192,0.204,1.99,1.71,27.26,75.83
3,0.39,36.5,25,17.23,2.23,15.02,2.078,0.151,1.93,1.83,26.93,77.07
3.5,0.43,40.5,28,16.1,1.62,14.48,2.11,0.143,1.97,2.24,27.53,74.28
4.2,0.47,37.8,32,19.98,2.37,17.61,2.147,0.159,1.99,1.55,27.85,72.56
4.6,0.62,35,26,24.08,3.82,20.25,2.178,0.231,1.95,0.99,27.86,72.09
6.7,0.42,35.8,29,23.61,2.92,20.71,2.128,0.2,1.93,1.85,28.63,71.31
4.4,0.52,36.1,26,19.78,1.81,17.96,2.236,0.208,2.03,1.67,27.49,72.86
3.6,0.41,40.6,27,19.51,1.76,17.75,2.164,0.157,2.01,2.18,26.96,77.42
5.9,0.48,29,19,18.86,3.76,15.1,2.031,0.172,1.86,0.95,30.74,71.51
4.1,0.29,34,20,13.87,1.46,12.4,2.015,0.096,1.92,2.3,29.44,77.95
5.8,0.32,29.9,21,16.89,3.01,13.87,2.006,0.11,1.9,1.67,30.12,73.72
4.5,0.31,34.6,20,12.52,1.71,10.81,1.958,0.096,1.86,2.24,29.72,75.18
4.5,0.31,34.1,22,13.57,2.21,11.35,2.06,0.123,1.94,1.89,29.79,76.14
8.8,0.32,28.3,21,19.93,3.71,16.23,1.987,0.14,1.85,2.07,30.92,72.28
4.1,0.26,28.9,23,13.32,2.97,10.35,2.219,0.131,2.09,1.8,30.17,75.29
3.8,0.43,31,20,15.18,1.83,13.34,2.095,0.141,1.95,1.76,30.05,72.71
3.3,0.32,31.2,21,14.94,2.65,12.31,2.052,0.192,1.86,1.71,29.82,76.24
4.5,0.23,35.3,21,8,1.09,6.9,2.021,0.054,1.97,2.39,30,76.06
4.9,0.42,18,14,17.93,4.46,13.47,1.985,0.16,1.83,0.99,30.13,73.05
8,0.28,18.2,16,18.57,4.72,13.86,1.938,0.132,1.81,2.07,31.02,74.46
